code_name,p,num_repeats,delta_ler_mean,delta_ler_std,delta_avg_latency_mean,delta_avg_latency_std,delta_p95_latency_mean,delta_p95_latency_std,delta_p99_latency_mean,delta_p99_latency_std,delta_avg_bp_iterations_mean,delta_avg_bp_iterations_std,delta_bp_converged_fraction_mean,delta_bp_converged_fraction_std,delta_avg_latency_positive_fraction,delta_p95_latency_positive_fraction,delta_ler_positive_fraction,n,k,d,mx_rows,mx_cols,mz_rows,mz_cols,mx_density,mz_density,syndrome_avg_weight_mean,syndrome_p95_weight_mean
bb_n72_k12,0.01,5,0.0,0.0,0.006682920189268779,0.005877415056416539,0.00746000025173998,0.015120937545828994,0.03954740048720844,0.07000350484568092,-0.06400000000000002,0.029146183283579357,0.0,0.0,1.0,0.4,0.0,72,12,6.0,36,72,36,72,0.0833333333333333,0.0833333333333333,2.0143999999999997,6.0
bb_n72_k12,0.02,5,0.0,0.001,0.005728980010098861,0.00612498783038134,0.0029950001226097802,0.00988535282963183,0.06207119921964466,0.058120468596216564,-0.20579999999999998,0.10809347806412738,0.0,0.0,1.0,0.8,0.4,72,12,6.0,36,72,36,72,0.0833333333333333,0.0833333333333333,3.9206000000000003,9.0
bb_n72_k12,0.03,5,-0.00020000000000000017,0.0004472135954999583,0.00183815979835346,0.0037501606837715366,-0.00972000027104522,0.01369350208268949,0.08367459986402533,0.04539980365911058,-0.2526,0.07848757863509365,0.0,0.0,0.4,0.2,0.0,72,12,6.0,36,72,36,72,0.0833333333333333,0.0833333333333333,5.5892,12.0
bb_n72_k12,0.05,5,0.0008000000000000007,0.0008366600265340762,0.025380720374960218,0.035147842020758616,0.08532600082617119,0.05735232852581472,0.37202719948982105,0.5364838109533182,-0.1452,0.05464155927496969,0.0,0.0,1.0,1.0,0.6,72,12,6.0,36,72,36,72,0.0833333333333333,0.0833333333333333,8.5176,15.0
bb_n96_k10,0.01,5,0.0,0.0,0.00384228021575836,0.0024307653064116457,0.0014909998935762996,0.0039861379005682014,0.012044799648720057,0.037561148724318885,-0.08280000000000003,0.012275992831539153,0.0,0.0,1.0,0.6,0.0,96,10,,48,96,48,96,0.0833333333333333,0.0833333333333333,3.6944000000000004,10.0
bb_n96_k10,0.02,5,0.0,0.0,0.00019815999694402023,0.003977340176098258,-0.0015869996605033417,0.004851058979806649,-0.020111199166422015,0.040465437357302486,-0.10440000000000005,0.027519084287090628,0.0,0.0,0.6,0.4,0.0,96,10,,48,96,48,96,0.0833333333333333,0.0833333333333333,6.6604,14.0
bb_n96_k10,0.03,5,0.0,0.0,0.010181260187891918,0.012234601328814461,0.00485499991555118,0.00666971319606871,0.1299364006481481,0.01727909190686591,-0.11919999999999983,0.028560462181134207,0.0,0.0,1.0,0.6,0.0,96,10,,48,96,48,96,0.0833333333333333,0.0833333333333333,9.255599999999998,16.41999999999998
bb_n96_k10,0.05,5,0.0,0.0,0.026781940214641496,0.014779034908055273,0.14034600035301997,0.06841153231289882,0.22473400029775797,0.17495526862082408,-0.059799999999999895,0.028873863614002106,0.0,0.0,1.0,1.0,0.0,96,10,,48,96,48,96,0.0833333333333333,0.0833333333333333,13.737200000000001,21.619999999999983
bb_n144_k12,0.01,5,0.0,0.0,0.0076500999923155176,0.0065472291552189105,0.004813000141439259,0.008403352812838077,0.023154600086854656,0.09190136228522085,-0.044,0.012509996003196787,0.0,0.0,1.0,0.6,0.0,144,12,12.0,72,144,72,144,0.0416666666666666,0.0416666666666666,4.0968,9.8
bb_n144_k12,0.02,5,0.0,0.0,0.0049656836123176794,0.0033485642134702146,0.004021000731881918,0.003823894240687579,0.0544707973749607,0.08220229317136091,-0.04399999999999995,0.03847726601514206,0.0,0.0,1.0,0.8,0.0,144,12,12.0,72,144,72,144,0.0416666666666666,0.0416666666666666,7.847799999999999,15.2
bb_n144_k12,0.03,5,0.0,0.0,0.005152906598959781,0.0033906911625534754,0.002914990091085119,0.006529897527763378,0.19935800183884572,0.029268331378461767,-0.02660000000000009,0.01879627622695528,0.0,0.0,0.8,0.8,0.0,144,12,12.0,72,144,72,144,0.0416666666666666,0.0416666666666666,11.1414,19.2
bb_n144_k12,0.05,5,0.0,0.0,0.026379936010562238,0.0026215721770738365,0.21742501054177416,0.013932517632057577,0.3489650015508231,0.0301256886534204,-0.0015999999999998238,0.002302172886643918,0.0,0.0,1.0,1.0,0.0,144,12,12.0,72,144,72,144,0.0416666666666666,0.0416666666666666,16.7932,25.20999999999999
bb_n64_k10,0.01,5,0.0,0.0,0.004588483798215739,0.0017611494570825225,0.00184199878276562,0.0014271021957927182,0.00800620067093408,0.018554596572782595,-0.28519999999999995,0.09487992411464088,0.0,0.0,1.0,1.0,0.0,64,10,,32,64,32,64,0.125,0.125,2.384,8.0
bb_n64_k10,0.02,5,0.0,0.0,0.0027224613895669007,0.0030325313643328844,-0.00023499964299846036,0.0067584159675685975,0.04812399909860679,0.03630348176955216,-0.355,0.07741769823496443,0.0,0.0,0.8,0.6,0.0,64,10,,32,64,32,64,0.125,0.125,4.3316,10.419999999999982
bb_n64_k10,0.03,5,0.0,0.0,0.00535824160506306,0.00564462981461088,0.030843819622532402,0.021116664203232088,0.11505659970498523,0.04447790756828775,-0.4608,0.11526144194829409,0.0,0.0,0.8,1.0,0.0,64,10,,32,64,32,64,0.125,0.125,6.176,12.0
