code_name,decoder_name,p,num_repeats,shots_per_repeat,num_shots,num_failures,num_failures_total,logical_error_rate,ler_mean,ler_std,ler_ci_low,ler_ci_high,avg_latency_ms_per_shot,avg_latency_mean,avg_latency_std,p50_latency_ms_per_shot,p50_latency_mean,p50_latency_std,p95_latency_ms_per_shot,p95_latency_mean,p95_latency_std,p99_latency_ms_per_shot,p99_latency_mean,p99_latency_std,avg_bp_iterations_mean,avg_bp_iterations_std,p95_bp_iterations_mean,p95_bp_iterations_std,bp_converged_fraction_mean,bp_converged_fraction_std,syndrome_avg_weight_mean,syndrome_avg_weight_std,syndrome_p95_weight_mean,syndrome_p95_weight_std,syndrome_avg_relative_weight_mean,syndrome_avg_relative_weight_std,syndrome_p95_relative_weight_mean,syndrome_p95_relative_weight_std,noise_model,n,k,d,mx_rows,mx_cols,mz_rows,mz_cols,mx_density,mz_density,mx_row_weight_mean,mz_row_weight_mean,seed_base,code_file,ci_method
bb_n72_k12,BP-OSD,0.01,5,1000,5000,2,2,0.0004,0.0004,0.0005477225575051661,0.00010970128207763504,0.0014573865014234437,0.016570420006246422,0.016570420006246422,0.003760601338724204,0.011929999891435727,0.011929999891435727,0.0013727715845899666,0.029873000330553613,0.029873000330553613,0.0048888810764903005,0.07763599971440269,0.07763599971440269,0.04472362073673126,1.145,0.042573465914815985,2.0,0.0,0.9992000000000001,0.00044721359549995833,2.0143999999999997,0.07834411273350414,6.0,0.0,0.05595555555555556,0.0021762253537084488,0.16666666666666666,0.0,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,7,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,BP-LSD,0.01,5,1000,5000,2,2,0.0004,0.0004,0.0005477225575051661,0.00010970128207763504,0.0014573865014234437,0.02325334019551519,0.02325334019551519,0.006550726172028864,0.01771000006556278,0.01771000006556278,0.005939529346594571,0.03733300058229358,0.03733300058229358,0.014699736348188325,0.11718340020161114,0.11718340020161114,0.06307434141170956,1.0810000000000002,0.01910497317454281,1.2,0.4472135954999579,0.9992000000000001,0.00044721359549995833,2.0143999999999997,0.07834411273350414,6.0,0.0,0.05595555555555556,0.0021762253537084488,0.16666666666666666,0.0,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,7,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,BP-OSD,0.02,5,1000,5000,71,71,0.014199999999999999,0.014199999999999999,0.002949576240750525,0.011273607305690402,0.017872291904127105,0.02036957999225706,0.02036957999225706,0.00701600601285806,0.01421999986632727,0.01421999986632727,0.004633788906853759,0.035309999802848296,0.035309999802848296,0.012855368421102312,0.15856300039013144,0.15856300039013144,0.06878360971051893,1.8374,0.24165326399616452,3.0,0.7071067811865476,0.9874,0.005683308895353133,3.9206000000000003,0.04710944703560005,9.0,0.0,0.10890555555555555,0.0013085957509888905,0.25,0.0,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,1007,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,BP-LSD,0.02,5,1000,5000,71,71,0.014199999999999999,0.014199999999999999,0.0035637059362410924,0.011273607305690402,0.017872291904127105,0.026098560002355952,0.026098560002355952,0.006724724466998999,0.016680000044289045,0.016680000044289045,0.0052945258696137434,0.038304999925458064,0.038304999925458064,0.00916792116429887,0.2206341996097761,0.2206341996097761,0.061727390583947724,1.6316000000000002,0.13525457478399763,2.2,0.4472135954999579,0.9874,0.005683308895353133,3.9206000000000003,0.04710944703560005,9.0,0.0,0.10890555555555555,0.0013085957509888905,0.25,0.0,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,1007,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,BP-OSD,0.03,5,1000,5000,199,199,0.0398,0.0398,0.0049193495504995365,0.034725287113523226,0.045581305756707366,0.020929100209468744,0.020929100209468744,0.0030477497828833157,0.013360000230022706,0.013360000230022706,0.0016226522980396713,0.0587490000907564,0.0587490000907564,0.02103242111021408,0.1643880000556237,0.1643880000556237,0.02464687935105554,3.0553999999999997,0.14669798907960532,17.289999999999917,8.307331099697487,0.9606,0.005504543577809159,5.5892,0.1805081715601817,12.0,0.0,0.15525555555555554,0.005014115876671709,0.3333333333333333,0.0,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,2007,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,BP-LSD,0.03,5,1000,5000,198,198,0.0396,0.0396,0.004615192303685729,0.03453846664891083,0.04536843330209778,0.02276726000782219,0.02276726000782219,0.0013725036768256957,0.01258000047528185,0.01258000047528185,0.000725947646695652,0.04902899981971119,0.04902899981971119,0.008721412516417209,0.24806259991964902,0.24806259991964902,0.03822661538261005,2.8028,0.15775835952493933,11.689999999999918,4.989539056866822,0.9606,0.005504543577809159,5.5892,0.1805081715601817,12.0,0.0,0.15525555555555554,0.005014115876671709,0.3333333333333333,0.0,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,2007,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,BP-OSD,0.05,5,1000,5000,830,830,0.166,0.166,0.006204836822995423,0.15594382424756215,0.17656900065173609,0.04393190001173934,0.04393190001173934,0.007637893922880959,0.02184000022680266,0.02184000022680266,0.0034916686462977973,0.1563339998392621,0.1563339998392621,0.020219702948279586,0.24598099987269956,0.24598099987269956,0.03510465630720745,6.8862,0.2373598533872147,30.0,0.0,0.8577999999999999,0.005890670590009261,8.5176,0.14002249819225482,15.0,0.0,0.23659999999999998,0.0038895138386737483,0.4166666666666667,0.0,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,3007,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,BP-LSD,0.05,5,1000,5000,834,834,0.1668,0.1668,0.005932958789676525,0.15672337701155417,0.17738821956463194,0.06931262038669957,0.06931262038669957,0.03963452375938852,0.022110000281827524,0.022110000281827524,0.005061175668485051,0.2416600006654333,0.2416600006654333,0.06896875294554296,0.6180081993625206,0.6180081993625206,0.5600198657575218,6.741,0.21707717521655726,30.0,0.0,0.8577999999999999,0.005890670590009261,8.5176,0.14002249819225482,15.0,0.0,0.23659999999999998,0.0038895138386737483,0.4166666666666667,0.0,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,3007,bbcode_n72_k12.npz,wilson_95
bb_n96_k10,BP-OSD,0.01,5,1000,5000,1,1,0.0002,0.0002,0.00044721359549995795,3.530578343936526e-05,0.0011320890808397363,0.019198399994274952,0.019198399994274952,0.0029836160155233874,0.015980000171111897,0.015980000171111897,0.0014618473996411963,0.03536600001098122,0.03536600001098122,0.005336277210063808,0.07111480011371892,0.07111480011371892,0.021332966846286047,1.232,0.022494443758404006,2.0,0.0,0.9998000000000001,0.00044721359549995833,3.6944000000000004,0.13397313163466776,10.0,0.0,0.07696666666666666,0.002791106909055578,0.20833333333333334,0.0,independent_z_only,96,10,,48,96,48,96,0.08333333333333333,0.08333333333333333,8.0,8.0,100007,bbcode_n96_k10.npz,wilson_95
bb_n96_k10,BP-LSD,0.01,5,1000,5000,1,1,0.0002,0.0002,0.00044721359549995795,3.530578343936526e-05,0.0011320890808397363,0.023040680210033315,0.023040680210033315,0.0030785863408802957,0.018390000150247943,0.018390000150247943,0.003799737154490131,0.03685699990455756,0.03685699990455756,0.005674636678381818,0.08315959976243896,0.08315959976243896,0.025191946715044863,1.1492,0.014237275020171478,2.0,0.0,0.9998000000000001,0.00044721359549995833,3.6944000000000004,0.13397313163466776,10.0,0.0,0.07696666666666666,0.002791106909055578,0.20833333333333334,0.0,independent_z_only,96,10,,48,96,48,96,0.08333333333333333,0.08333333333333333,8.0,8.0,100007,bbcode_n96_k10.npz,wilson_95
