shot_id,seed,intervention,baseline_logical_failure,intervened_logical_failure,baseline_failure_round,intervened_failure_round,baseline_failure_mode,intervened_failure_mode,baseline_failure_pattern,intervened_failure_pattern,rescued_failure,new_failure
0,42,remove_data_errors,False,False,,,none,none,no_failure,no_failure,False,False
0,42,remove_measurement_errors,False,False,,,none,none,no_failure,no_failure,False,False
0,42,remove_idle_errors,False,False,,,none,none,no_failure,no_failure,False,False
0,42,weaken_data_errors_50pct,False,False,,,none,none,no_failure,no_failure,False,False
0,42,weaken_measurement_errors_50pct,False,False,,,none,none,no_failure,no_failure,False,False
0,42,weaken_idle_errors_50pct,False,False,,,none,none,no_failure,no_failure,False,False
0,42,remove_decoder_timeout,False,False,,,none,none,no_failure,no_failure,False,False
0,42,reduce_decoder_delay_50pct,False,False,,,none,none,no_failure,no_failure,False,False
0,42,reduce_idle_exposure_50pct,False,False,,,none,none,no_failure,no_failure,False,False
1,43,remove_data_errors,False,False,,,none,none,no_failure,no_failure,False,False
1,43,remove_measurement_errors,False,False,,,none,none,no_failure,no_failure,False,False
1,43,remove_idle_errors,False,False,,,none,none,no_failure,no_failure,False,False
1,43,weaken_data_errors_50pct,False,False,,,none,none,no_failure,no_failure,False,False
1,43,weaken_measurement_errors_50pct,False,False,,,none,none,no_failure,no_failure,False,False
1,43,weaken_idle_errors_50pct,False,False,,,none,none,no_failure,no_failure,False,False
1,43,remove_decoder_timeout,False,False,,,none,none,no_failure,no_failure,False,False
1,43,reduce_decoder_delay_50pct,False,False,,,none,none,no_failure,no_failure,False,False
1,43,reduce_idle_exposure_50pct,False,False,,,none,none,no_failure,no_failure,False,False
2,44,remove_data_errors,True,True,0,0,logical_Z,logical_Z,idle_correlated,idle_correlated,False,False
2,44,remove_measurement_errors,True,True,0,0,logical_Z,logical_Z,idle_correlated,idle_correlated,False,False
2,44,remove_idle_errors,True,True,0,0,logical_Z,mixed,idle_correlated,idle_correlated,False,False
2,44,weaken_data_errors_50pct,True,True,0,0,logical_Z,logical_Z,idle_correlated,idle_correlated,False,False
2,44,weaken_measurement_errors_50pct,True,True,0,0,logical_Z,logical_Z,idle_correlated,idle_correlated,False,False
2,44,weaken_idle_errors_50pct,True,True,0,0,logical_Z,logical_Z,idle_correlated,idle_correlated,False,False
2,44,remove_decoder_timeout,True,True,0,0,logical_Z,logical_Z,idle_correlated,idle_correlated,False,False
2,44,reduce_decoder_delay_50pct,True,True,0,0,logical_Z,logical_Z,idle_correlated,idle_correlated,False,False
2,44,reduce_idle_exposure_50pct,True,True,0,4,logical_Z,logical_Z,idle_correlated,idle_correlated,False,False
3,45,remove_data_errors,False,False,,,none,none,no_failure,no_failure,False,False
3,45,remove_measurement_errors,False,False,,,none,none,no_failure,no_failure,False,False
3,45,remove_idle_errors,False,False,,,none,none,no_failure,no_failure,False,False
3,45,weaken_data_errors_50pct,False,False,,,none,none,no_failure,no_failure,False,False
3,45,weaken_measurement_errors_50pct,False,False,,,none,none,no_failure,no_failure,False,False
3,45,weaken_idle_errors_50pct,False,False,,,none,none,no_failure,no_failure,False,False
3,45,remove_decoder_timeout,False,False,,,none,none,no_failure,no_failure,False,False
3,45,reduce_decoder_delay_50pct,False,False,,,none,none,no_failure,no_failure,False,False
3,45,reduce_idle_exposure_50pct,False,False,,,none,none,no_failure,no_failure,False,False
4,46,remove_data_errors,False,False,,,none,none,no_failure,no_failure,False,False
4,46,remove_measurement_errors,False,False,,,none,none,no_failure,no_failure,False,False
4,46,remove_idle_errors,False,False,,,none,none,no_failure,no_failure,False,False
4,46,weaken_data_errors_50pct,False,False,,,none,none,no_failure,no_failure,False,False
4,46,weaken_measurement_errors_50pct,False,False,,,none,none,no_failure,no_failure,False,False
4,46,weaken_idle_errors_50pct,False,False,,,none,none,no_failure,no_failure,False,False
4,46,remove_decoder_timeout,False,False,,,none,none,no_failure,no_failure,False,False
4,46,reduce_decoder_delay_50pct,False,False,,,none,none,no_failure,no_failure,False,False
4,46,reduce_idle_exposure_50pct,False,False,,,none,none,no_failure,no_failure,False,False
5,47,remove_data_errors,False,False,,,none,none,no_failure,no_failure,False,False
5,47,remove_measurement_errors,False,False,,,none,none,no_failure,no_failure,False,False
5,47,remove_idle_errors,False,False,,,none,none,no_failure,no_failure,False,False
5,47,weaken_data_errors_50pct,False,False,,,none,none,no_failure,no_failure,False,False
5,47,weaken_measurement_errors_50pct,False,False,,,none,none,no_failure,no_failure,False,False
5,47,weaken_idle_errors_50pct,False,False,,,none,none,no_failure,no_failure,False,False
5,47,remove_decoder_timeout,False,False,,,none,none,no_failure,no_failure,False,False
5,47,reduce_decoder_delay_50pct,False,False,,,none,none,no_failure,no_failure,False,False
5,47,reduce_idle_exposure_50pct,False,False,,,none,none,no_failure,no_failure,False,False
6,48,remove_data_errors,False,False,,,none,none,no_failure,no_failure,False,False
6,48,remove_measurement_errors,False,False,,,none,none,no_failure,no_failure,False,False
6,48,remove_idle_errors,False,False,,,none,none,no_failure,no_failure,False,False
6,48,weaken_data_errors_50pct,False,False,,,none,none,no_failure,no_failure,False,False
6,48,weaken_measurement_errors_50pct,False,False,,,none,none,no_failure,no_failure,False,False
6,48,weaken_idle_errors_50pct,False,False,,,none,none,no_failure,no_failure,False,False
6,48,remove_decoder_timeout,False,False,,,none,none,no_failure,no_failure,False,False
6,48,reduce_decoder_delay_50pct,False,False,,,none,none,no_failure,no_failure,False,False
6,48,reduce_idle_exposure_50pct,False,False,,,none,none,no_failure,no_failure,False,False
7,49,remove_data_errors,False,False,,,none,none,no_failure,no_failure,False,False
7,49,remove_measurement_errors,False,False,,,none,none,no_failure,no_failure,False,False
7,49,remove_idle_errors,False,False,,,none,none,no_failure,no_failure,False,False
7,49,weaken_data_errors_50pct,False,False,,,none,none,no_failure,no_failure,False,False
7,49,weaken_measurement_errors_50pct,False,False,,,none,none,no_failure,no_failure,False,False
7,49,weaken_idle_errors_50pct,False,False,,,none,none,no_failure,no_failure,False,False
7,49,remove_decoder_timeout,False,False,,,none,none,no_failure,no_failure,False,False
7,49,reduce_decoder_delay_50pct,False,False,,,none,none,no_failure,no_failure,False,False
7,49,reduce_idle_exposure_50pct,False,False,,,none,none,no_failure,no_failure,False,False
8,50,remove_data_errors,False,False,,,none,none,no_failure,no_failure,False,False
8,50,remove_measurement_errors,False,False,,,none,none,no_failure,no_failure,False,False
8,50,remove_idle_errors,False,False,,,none,none,no_failure,no_failure,False,False
8,50,weaken_data_errors_50pct,False,False,,,none,none,no_failure,no_failure,False,False
8,50,weaken_measurement_errors_50pct,False,False,,,none,none,no_failure,no_failure,False,False
8,50,weaken_idle_errors_50pct,False,False,,,none,none,no_failure,no_failure,False,False
8,50,remove_decoder_timeout,False,False,,,none,none,no_failure,no_failure,False,False
8,50,reduce_decoder_delay_50pct,False,False,,,none,none,no_failure,no_failure,False,False
8,50,reduce_idle_exposure_50pct,False,False,,,none,none,no_failure,no_failure,False,False
9,51,remove_data_errors,True,False,2,,logical_X,none,data_dominated,no_failure,True,False
9,51,remove_measurement_errors,True,False,2,,logical_X,none,data_dominated,no_failure,True,False
9,51,remove_idle_errors,True,True,2,2,logical_X,logical_X,data_dominated,data_dominated,False,False
9,51,weaken_data_errors_50pct,True,False,2,,logical_X,none,data_dominated,no_failure,True,False
9,51,weaken_measurement_errors_50pct,True,True,2,2,logical_X,logical_X,data_dominated,data_dominated,False,False
