experiment_name,control_mode,basis,cycles,rescued,induced,paired_delta_lfr,train_group,test_group,sign_matches_train
surface_code_reinforcement_learning,reinforcement_learning,X,10,74,46,-0.002800,traditional_calibration,reinforcement_learning,True
surface_code_reinforcement_learning,reinforcement_learning,X,20,163,78,-0.008500,traditional_calibration,reinforcement_learning,True
surface_code_reinforcement_learning,reinforcement_learning,X,30,221,125,-0.009600,traditional_calibration,reinforcement_learning,True
surface_code_reinforcement_learning,reinforcement_learning,X,40,330,166,-0.016400,traditional_calibration,reinforcement_learning,True
surface_code_reinforcement_learning,reinforcement_learning,X,50,361,200,-0.016100,traditional_calibration,reinforcement_learning,True
surface_code_reinforcement_learning,reinforcement_learning,X,60,424,230,-0.019400,traditional_calibration,reinforcement_learning,True
surface_code_reinforcement_learning,reinforcement_learning,X,70,469,250,-0.021900,traditional_calibration,reinforcement_learning,True
surface_code_reinforcement_learning,reinforcement_learning,X,80,632,334,-0.029800,traditional_calibration,reinforcement_learning,True
surface_code_reinforcement_learning,reinforcement_learning,X,90,656,330,-0.032600,traditional_calibration,reinforcement_learning,True
surface_code_reinforcement_learning,reinforcement_learning,X,100,687,374,-0.031300,traditional_calibration,reinforcement_learning,True
surface_code_reinforcement_learning,reinforcement_learning,Z,10,58,39,-0.001900,traditional_calibration,reinforcement_learning,True
surface_code_reinforcement_learning,reinforcement_learning,Z,20,147,61,-0.008600,traditional_calibration,reinforcement_learning,True
surface_code_reinforcement_learning,reinforcement_learning,Z,30,218,104,-0.011400,traditional_calibration,reinforcement_learning,True
surface_code_reinforcement_learning,reinforcement_learning,Z,40,292,154,-0.013800,traditional_calibration,reinforcement_learning,True
surface_code_reinforcement_learning,reinforcement_learning,Z,50,336,190,-0.014600,traditional_calibration,reinforcement_learning,True
surface_code_reinforcement_learning,reinforcement_learning,Z,60,395,227,-0.016800,traditional_calibration,reinforcement_learning,True
surface_code_reinforcement_learning,reinforcement_learning,Z,70,505,255,-0.025000,traditional_calibration,reinforcement_learning,True
surface_code_reinforcement_learning,reinforcement_learning,Z,80,509,317,-0.019200,traditional_calibration,reinforcement_learning,True
surface_code_reinforcement_learning,reinforcement_learning,Z,90,586,354,-0.023200,traditional_calibration,reinforcement_learning,True
surface_code_reinforcement_learning,reinforcement_learning,Z,100,672,388,-0.028400,traditional_calibration,reinforcement_learning,True
surface_code_traditional_calibration,traditional_calibration,X,10,93,41,-0.005200,reinforcement_learning,traditional_calibration,True
surface_code_traditional_calibration,traditional_calibration,X,20,185,105,-0.008000,reinforcement_learning,traditional_calibration,True
surface_code_traditional_calibration,traditional_calibration,X,30,290,125,-0.016500,reinforcement_learning,traditional_calibration,True
surface_code_traditional_calibration,traditional_calibration,X,40,386,184,-0.020200,reinforcement_learning,traditional_calibration,True
surface_code_traditional_calibration,traditional_calibration,X,50,452,236,-0.021600,reinforcement_learning,traditional_calibration,True
surface_code_traditional_calibration,traditional_calibration,X,60,547,279,-0.026800,reinforcement_learning,traditional_calibration,True
surface_code_traditional_calibration,traditional_calibration,X,70,642,347,-0.029500,reinforcement_learning,traditional_calibration,True
surface_code_traditional_calibration,traditional_calibration,X,80,707,385,-0.032200,reinforcement_learning,traditional_calibration,True
surface_code_traditional_calibration,traditional_calibration,X,90,794,425,-0.036900,reinforcement_learning,traditional_calibration,True
surface_code_traditional_calibration,traditional_calibration,X,100,868,524,-0.034400,reinforcement_learning,traditional_calibration,True
surface_code_traditional_calibration,traditional_calibration,Z,10,83,47,-0.003600,reinforcement_learning,traditional_calibration,True
surface_code_traditional_calibration,traditional_calibration,Z,20,159,92,-0.006700,reinforcement_learning,traditional_calibration,True
surface_code_traditional_calibration,traditional_calibration,Z,30,245,124,-0.012100,reinforcement_learning,traditional_calibration,True
surface_code_traditional_calibration,traditional_calibration,Z,40,381,191,-0.019000,reinforcement_learning,traditional_calibration,True
surface_code_traditional_calibration,traditional_calibration,Z,50,433,260,-0.017300,reinforcement_learning,traditional_calibration,True
surface_code_traditional_calibration,traditional_calibration,Z,60,509,253,-0.025600,reinforcement_learning,traditional_calibration,True
surface_code_traditional_calibration,traditional_calibration,Z,70,567,327,-0.024000,reinforcement_learning,traditional_calibration,True
surface_code_traditional_calibration,traditional_calibration,Z,80,680,403,-0.027700,reinforcement_learning,traditional_calibration,True
surface_code_traditional_calibration,traditional_calibration,Z,90,693,408,-0.028500,reinforcement_learning,traditional_calibration,True
surface_code_traditional_calibration,traditional_calibration,Z,100,830,504,-0.032600,reinforcement_learning,traditional_calibration,True
