condition,mcnemar_exact_p,scoped_holm_p,scoped_holm_sig,global_holm_p,global_holm_sig,benjamini_hochberg_critical,bh_sig
surface_code_traditional_calibration,0.000000,N/A,N/A,0.000000,True,0.001250,True
surface_code_reinforcement_learning,0.000000,N/A,N/A,0.000000,True,0.002500,True
surface_code_traditional_calibration,0.000000,N/A,N/A,0.000000,True,0.003750,True
surface_code_reinforcement_learning,0.000000,N/A,N/A,0.000000,True,0.005000,True
surface_code_reinforcement_learning,0.000000,N/A,N/A,0.000000,True,0.006250,True
surface_code_traditional_calibration,0.000000,N/A,N/A,0.000000,True,0.007500,True
surface_code_traditional_calibration,0.000000,N/A,N/A,0.000000,True,0.008750,True
surface_code_traditional_calibration,0.000000,N/A,N/A,0.000000,True,0.010000,True
surface_code_traditional_calibration,0.000000,N/A,N/A,0.000000,True,0.011250,True
surface_code_reinforcement_learning,0.000000,N/A,N/A,0.000000,True,0.012500,True
surface_code_traditional_calibration,0.000000,N/A,N/A,0.000000,True,0.013750,True
surface_code_reinforcement_learning,0.000000,N/A,N/A,0.000000,True,0.015000,True
surface_code_traditional_calibration,0.000000,N/A,N/A,0.000000,True,0.016250,True
surface_code_traditional_calibration,0.000000,N/A,N/A,0.000000,True,0.017500,True
surface_code_traditional_calibration,0.000000,N/A,N/A,0.000000,True,0.018750,True
surface_code_traditional_calibration,0.000000,N/A,N/A,0.000000,True,0.020000,True
surface_code_reinforcement_learning,0.000000,N/A,N/A,0.000000,True,0.021250,True
surface_code_traditional_calibration,0.000000,N/A,N/A,0.000000,True,0.022500,True
surface_code_traditional_calibration,0.000000,N/A,N/A,0.000000,True,0.023750,True
surface_code_traditional_calibration,0.000000,N/A,N/A,0.000000,True,0.025000,True
surface_code_reinforcement_learning,0.000000,N/A,N/A,0.000000,True,0.026250,True
surface_code_reinforcement_learning,0.000000,N/A,N/A,0.000000,True,0.027500,True
surface_code_reinforcement_learning,0.000000,N/A,N/A,0.000000,True,0.028750,True
surface_code_reinforcement_learning,0.000000,N/A,N/A,0.000000,True,0.030000,True
surface_code_reinforcement_learning,0.000000,N/A,N/A,0.000000,True,0.031250,True
surface_code_reinforcement_learning,0.000000,N/A,N/A,0.000000,True,0.032500,True
surface_code_traditional_calibration,0.000000,N/A,N/A,0.000000,True,0.033750,True
surface_code_reinforcement_learning,0.000000,N/A,N/A,0.000000,True,0.035000,True
surface_code_reinforcement_learning,0.000000,N/A,N/A,0.000000,True,0.036250,True
surface_code_reinforcement_learning,0.000000,N/A,N/A,0.000000,True,0.037500,True
surface_code_traditional_calibration,0.000000,N/A,N/A,0.000000,True,0.038750,True
surface_code_reinforcement_learning,0.000000,N/A,N/A,0.000000,True,0.040000,True
surface_code_reinforcement_learning,0.000000,N/A,N/A,0.000002,True,0.041250,True
surface_code_reinforcement_learning,0.000000,N/A,N/A,0.000011,True,0.042500,True
surface_code_traditional_calibration,0.000003,N/A,N/A,0.000122,True,0.043750,True
surface_code_traditional_calibration,0.000008,N/A,N/A,0.000329,True,0.045000,True
surface_code_traditional_calibration,0.000028,N/A,N/A,0.001120,True,0.046250,True
surface_code_traditional_calibration,0.002024,N/A,N/A,0.080951,True,0.047500,True
surface_code_reinforcement_learning,0.013376,N/A,N/A,0.535052,True,0.048750,True
surface_code_reinforcement_learning,0.067052,N/A,N/A,1.000000,False,0.050000,False
