source_data_dir,baseline_prior,intervened_prior,workload_id,stress_level,intervention,intervention_class,num_pairs,valid_pairs,invalid_pairs,baseline_failure_count,intervened_failure_count,rescued_failure_count,induced_failure_count,unchanged_failure_count,unchanged_success_count,net_rescue_count,paired_delta_lfr,paired_delta_lfr_ci_lower,paired_delta_lfr_ci_upper,net_rescue_rate,net_rescue_rate_ci_lower,net_rescue_rate_ci_upper,rescue_rate_among_baseline_failures,induction_rate_among_baseline_successes,num_bootstrap,bootstrap_seed
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q4_5/X/r05,dem_simple,dem_correlations,sycamore_surface_code_d3_d5_sample_00_d3_at_q4_5_X_r05,real_device,switch_decoder_prior,decoder,10000,10000,0,1532,1408,436,312,1096,8156,124,-0.012400,-0.017800,-0.007700,0.012400,0.006900,0.016800,0.284595,0.036845,100,2026
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q4_5/X/r05,dem_simple,dem_rl_isolated_correlated_matching,sycamore_surface_code_d3_d5_sample_00_d3_at_q4_5_X_r05,real_device,switch_decoder_prior,decoder,10000,10000,0,1532,1342,514,324,1018,8144,190,-0.019000,-0.024700,-0.013500,0.019000,0.014200,0.023400,0.335509,0.038262,100,2027
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q4_5/X/r05,dem_simple,dem_rl_shared_correlated_matching,sycamore_surface_code_d3_d5_sample_00_d3_at_q4_5_X_r05,real_device,switch_decoder_prior,decoder,10000,10000,0,1532,1362,537,367,995,8101,170,-0.017000,-0.023400,-0.013000,0.017000,0.010800,0.021600,0.350522,0.043340,100,2028
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q4_5/X/r09,dem_simple,dem_correlations,sycamore_surface_code_d3_d5_sample_00_d3_at_q4_5_X_r09,real_device,switch_decoder_prior,decoder,10000,10000,0,2177,2023,622,468,1555,7355,154,-0.015400,-0.021600,-0.009700,0.015400,0.009200,0.021700,0.285714,0.059824,100,2126
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q4_5/X/r09,dem_simple,dem_rl_isolated_correlated_matching,sycamore_surface_code_d3_d5_sample_00_d3_at_q4_5_X_r09,real_device,switch_decoder_prior,decoder,10000,10000,0,2177,1927,767,517,1410,7306,250,-0.025000,-0.030700,-0.017900,0.025000,0.017000,0.031200,0.352320,0.066087,100,2127
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q4_5/X/r09,dem_simple,dem_rl_shared_correlated_matching,sycamore_surface_code_d3_d5_sample_00_d3_at_q4_5_X_r09,real_device,switch_decoder_prior,decoder,10000,10000,0,2177,1953,791,567,1386,7256,224,-0.022400,-0.028400,-0.015800,0.022400,0.014900,0.030200,0.363344,0.072479,100,2128
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q4_5/X/r13,dem_simple,dem_correlations,sycamore_surface_code_d3_d5_sample_00_d3_at_q4_5_X_r13,real_device,switch_decoder_prior,decoder,10000,10000,0,2768,2554,842,628,1926,6604,214,-0.021400,-0.028700,-0.013300,0.021400,0.013600,0.028000,0.304191,0.086836,100,2226
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q4_5/X/r13,dem_simple,dem_rl_isolated_correlated_matching,sycamore_surface_code_d3_d5_sample_00_d3_at_q4_5_X_r13,real_device,switch_decoder_prior,decoder,10000,10000,0,2768,2483,1025,740,1743,6492,285,-0.028500,-0.036000,-0.022200,0.028500,0.021100,0.037600,0.370303,0.102323,100,2227
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q4_5/X/r13,dem_simple,dem_rl_shared_correlated_matching,sycamore_surface_code_d3_d5_sample_00_d3_at_q4_5_X_r13,real_device,switch_decoder_prior,decoder,10000,10000,0,2768,2507,1071,810,1697,6422,261,-0.026100,-0.036800,-0.018100,0.026100,0.018000,0.034200,0.386922,0.112002,100,2228
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q4_5/X/r17,dem_simple,dem_correlations,sycamore_surface_code_d3_d5_sample_00_d3_at_q4_5_X_r17,real_device,switch_decoder_prior,decoder,10000,10000,0,3371,3183,1091,903,2280,5726,188,-0.018800,-0.026000,-0.010800,0.018800,0.009600,0.027300,0.323643,0.136220,100,2326
