group_by,group_value,num_conditions,total_pairs,mean_baseline_lfr,mean_intervened_lfr,mean_paired_delta_lfr,min_paired_delta_lfr,max_paired_delta_lfr,mean_net_rescue_rate,strongest_condition,strongest_paired_delta_lfr
code_family,color_code_memory,48,480000,0.229800,0.212510,-0.017290,-0.030200,-0.003500,0.017290,color_code_distance_5_traditional_calibration_and_rl_fine_tuning_X_r038,-0.030200
code_family,surface_code_memory,448,4480000,0.225296,0.212023,-0.013272,-0.054400,0.015100,0.013272,surface_code_distance_3_5_7_traditional_calibration_d3_0+4j_Z_r110,-0.054400
control_mode,traditional_calibration,248,2480000,0.232717,0.218329,-0.014388,-0.054400,0.015100,0.014388,surface_code_distance_3_5_7_traditional_calibration_d3_0+4j_Z_r110,-0.054400
control_mode,traditional_calibration_and_rl_fine_tuning,248,2480000,0.218746,0.205812,-0.012934,-0.053300,0.014600,0.012934,surface_code_distance_3_5_7_traditional_calibration_and_rl_fine_tuning_d3_0+4j_Z_r090,-0.053300
basis,X,248,2480000,0.231709,0.220220,-0.011489,-0.047700,0.015100,0.011489,surface_code_distance_3_5_7_traditional_calibration_d5_4+0j_X_r110,-0.047700
basis,Z,248,2480000,0.219754,0.203921,-0.015833,-0.054400,0.000900,0.015833,surface_code_distance_3_5_7_traditional_calibration_d3_0+4j_Z_r110,-0.054400
cycles,10,60,600000,0.048072,0.044545,-0.003527,-0.015200,0.004000,0.003527,surface_code_distance_3_5_7_traditional_calibration_d3_0+8j_Z_r010,-0.015200
cycles,110,56,560000,0.298109,0.281145,-0.016964,-0.054400,0.011800,0.016964,surface_code_distance_3_5_7_traditional_calibration_d3_0+4j_Z_r110,-0.054400
cycles,130,56,560000,0.325652,0.308375,-0.017277,-0.052500,0.004200,0.017277,surface_code_distance_3_5_7_traditional_calibration_d3_0+8j_Z_r130,-0.052500
cycles,14,4,40000,0.145025,0.134900,-0.010125,-0.016000,-0.005600,0.010125,color_code_distance_5_traditional_calibration_X_r014,-0.016000
cycles,150,56,560000,0.348546,0.332679,-0.015868,-0.051100,0.015100,0.015868,surface_code_distance_3_5_7_traditional_calibration_and_rl_fine_tuning_d3_0+8j_Z_r150,-0.051100
cycles,18,4,40000,0.176700,0.160250,-0.016450,-0.022000,-0.007500,0.016450,color_code_distance_5_traditional_calibration_X_r018,-0.022000
cycles,22,4,40000,0.210775,0.190900,-0.019875,-0.022300,-0.016500,0.019875,color_code_distance_5_traditional_calibration_Z_r022,-0.022300
cycles,26,4,40000,0.227550,0.206375,-0.021175,-0.028300,-0.009200,0.021175,color_code_distance_5_traditional_calibration_Z_r026,-0.028300
cycles,30,60,600000,0.127570,0.117917,-0.009653,-0.033600,0.003600,0.009653,surface_code_distance_3_5_7_traditional_calibration_d3_0+4j_Z_r030,-0.033600
cycles,34,4,40000,0.277925,0.256125,-0.021800,-0.026200,-0.015100,0.021800,color_code_distance_5_traditional_calibration_Z_r034,-0.026200
cycles,38,4,40000,0.296450,0.275800,-0.020650,-0.030200,-0.014600,0.020650,color_code_distance_5_traditional_calibration_and_rl_fine_tuning_X_r038,-0.030200
cycles,42,4,40000,0.309075,0.293050,-0.016025,-0.024900,-0.008400,0.016025,color_code_distance_5_traditional_calibration_X_r042,-0.024900
cycles,46,4,40000,0.330625,0.309725,-0.020900,-0.026300,-0.016300,0.020900,color_code_distance_5_traditional_calibration_X_r046,-0.026300
cycles,50,60,600000,0.188562,0.175332,-0.013230,-0.042400,0.010000,0.013230,surface_code_distance_3_5_7_traditional_calibration_and_rl_fine_tuning_d3_0+8j_Z_r050,-0.042400
cycles,6,4,40000,0.074325,0.067300,-0.007025,-0.009000,-0.003500,0.007025,color_code_distance_5_traditional_calibration_and_rl_fine_tuning_X_r006,-0.009000
cycles,70,56,560000,0.225282,0.210036,-0.015246,-0.045900,0.014600,0.015246,surface_code_distance_3_5_7_traditional_calibration_and_rl_fine_tuning_d3_0+4j_Z_r070,-0.045900
cycles,90,56,560000,0.265211,0.248866,-0.016345,-0.053300,0.011600,0.016345,surface_code_distance_3_5_7_traditional_calibration_and_rl_fine_tuning_d3_0+4j_Z_r090,-0.053300
all,all,496,4960000,0.225731,0.212070,-0.013661,-0.054400,0.015100,0.013661,surface_code_distance_3_5_7_traditional_calibration_d3_0+4j_Z_r110,-0.054400
