experiment_name,code_family,control_mode,basis,cycle_dir,cycles,workload_id,baseline_decoder_pathway,intervened_decoder_pathway,num_pairs,valid_pairs,invalid_pairs,baseline_failure_count,intervened_failure_count,rescued_failure_count,induced_failure_count,unchanged_failure_count,unchanged_success_count,net_rescue_count,baseline_lfr,intervened_lfr,paired_delta_lfr,net_rescue_rate,rescue_rate_among_baseline_failures,induction_rate_among_baseline_successes,pairing_violation_rate,source_data_dir
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,r006,6,color_code_distance_5_traditional_calibration_X_r006,tesseract_decoder_with_si1000_prior,tesseract_decoder_with_frequency_calibrated_prior,10000,10000,0,854,781,257,184,597,8962,73,0.085400,0.078100,-0.007300,0.007300,0.300937,0.020118,0.000000,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r006
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,r010,10,color_code_distance_5_traditional_calibration_X_r010,tesseract_decoder_with_si1000_prior,tesseract_decoder_with_frequency_calibrated_prior,10000,10000,0,1239,1150,396,307,843,8454,89,0.123900,0.115000,-0.008900,0.008900,0.319613,0.035042,0.000000,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r010
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,r014,14,color_code_distance_5_traditional_calibration_X_r014,tesseract_decoder_with_si1000_prior,tesseract_decoder_with_frequency_calibrated_prior,10000,10000,0,1652,1492,569,409,1083,7939,160,0.165200,0.149200,-0.016000,0.016000,0.344431,0.048994,0.000000,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r014
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,r018,18,color_code_distance_5_traditional_calibration_X_r018,tesseract_decoder_with_si1000_prior,tesseract_decoder_with_frequency_calibrated_prior,10000,10000,0,2098,1878,700,480,1398,7422,220,0.209800,0.187800,-0.022000,0.022000,0.333651,0.060744,0.000000,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r018
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,r022,22,color_code_distance_5_traditional_calibration_X_r022,tesseract_decoder_with_si1000_prior,tesseract_decoder_with_frequency_calibrated_prior,10000,10000,0,2426,2215,862,651,1564,6923,211,0.242600,0.221500,-0.021100,0.021100,0.355317,0.085952,0.000000,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r022
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,r026,26,color_code_distance_5_traditional_calibration_X_r026,tesseract_decoder_with_si1000_prior,tesseract_decoder_with_frequency_calibrated_prior,10000,10000,0,2672,2427,945,700,1727,6628,245,0.267200,0.242700,-0.024500,0.024500,0.353668,0.095524,0.000000,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r026
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,r030,30,color_code_distance_5_traditional_calibration_X_r030,tesseract_decoder_with_si1000_prior,tesseract_decoder_with_frequency_calibrated_prior,10000,10000,0,2775,2601,979,805,1796,6420,174,0.277500,0.260100,-0.017400,0.017400,0.352793,0.111419,0.000000,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r030
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,r034,34,color_code_distance_5_traditional_calibration_X_r034,tesseract_decoder_with_si1000_prior,tesseract_decoder_with_frequency_calibrated_prior,10000,10000,0,3183,2922,1121,860,2062,5957,261,0.318300,0.292200,-0.026100,0.026100,0.352183,0.126155,0.000000,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r034
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,r038,38,color_code_distance_5_traditional_calibration_X_r038,tesseract_decoder_with_si1000_prior,tesseract_decoder_with_frequency_calibrated_prior,10000,10000,0,3378,3150,1239,1011,2139,5611,228,0.337800,0.315000,-0.022800,0.022800,0.366785,0.152673,0.000000,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r038
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,r042,42,color_code_distance_5_traditional_calibration_X_r042,tesseract_decoder_with_si1000_prior,tesseract_decoder_with_frequency_calibrated_prior,10000,10000,0,3476,3227,1314,1065,2162,5459,249,0.347600,0.322700,-0.024900,0.024900,0.378021,0.163243,0.000000,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r042
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,r046,46,color_code_distance_5_traditional_calibration_X_r046,tesseract_decoder_with_si1000_prior,tesseract_decoder_with_frequency_calibrated_prior,10000,10000,0,3730,3467,1422,1159,2308,5111,263,0.373000,0.346700,-0.026300,0.026300,0.381233,0.184848,0.000000,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r046
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,r050,50,color_code_distance_5_traditional_calibration_X_r050,tesseract_decoder_with_si1000_prior,tesseract_decoder_with_frequency_calibrated_prior,10000,10000,0,3979,3717,1551,1289,2428,4732,262,0.397900,0.371700,-0.026200,0.026200,0.389796,0.214084,0.000000,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r050
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,Z,r006,6,color_code_distance_5_traditional_calibration_Z_r006,tesseract_decoder_with_si1000_prior,tesseract_decoder_with_frequency_calibrated_prior,10000,10000,0,839,756,272,189,567,8972,83,0.083900,0.075600,-0.008300,0.008300,0.324195,0.020631,0.000000,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/Z/r006
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,Z,r010,10,color_code_distance_5_traditional_calibration_Z_r010,tesseract_decoder_with_si1000_prior,tesseract_decoder_with_frequency_calibrated_prior,10000,10000,0,1176,1081,354,259,822,8565,95,0.117600,0.108100,-0.009500,0.009500,0.301020,0.029352,0.000000,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/Z/r010
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,Z,r014,14,color_code_distance_5_traditional_calibration_Z_r014,tesseract_decoder_with_si1000_prior,tesseract_decoder_with_frequency_calibrated_prior,10000,10000,0,1648,1539,525,416,1123,7936,109,0.164800,0.153900,-0.010900,0.010900,0.318568,0.049808,0.000000,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/Z/r014
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,Z,r018,18,color_code_distance_5_traditional_calibration_Z_r018,tesseract_decoder_with_si1000_prior,tesseract_decoder_with_frequency_calibrated_prior,10000,10000,0,1861,1705,616,460,1245,7679,156,0.186100,0.170500,-0.015600,0.015600,0.331005,0.056518,0.000000,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/Z/r018
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,Z,r022,22,color_code_distance_5_traditional_calibration_Z_r022,tesseract_decoder_with_si1000_prior,tesseract_decoder_with_frequency_calibrated_prior,10000,10000,0,2372,2149,808,585,1564,7043,223,0.237200,0.214900,-0.022300,0.022300,0.340641,0.076691,0.000000,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/Z/r022
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,Z,r026,26,color_code_distance_5_traditional_calibration_Z_r026,tesseract_decoder_with_si1000_prior,tesseract_decoder_with_frequency_calibrated_prior,10000,10000,0,2575,2292,922,639,1653,6786,283,0.257500,0.229200,-0.028300,0.028300,0.358058,0.086061,0.000000,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/Z/r026
