experiment_name,code_family,control_mode,basis,cycles,workload_id,num_pairs,paired_delta_lfr,paired_bootstrap_std,unpaired_bootstrap_std,std_ratio_unpaired_over_paired,paired_ci_lower,paired_ci_upper,unpaired_ci_lower,unpaired_ci_upper,num_bootstrap,source_data_dir
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,6,color_code_distance_5_traditional_calibration_X_r006,10000,-0.007300,0.002133,0.003897,1.826686,-0.011100,-0.003100,-0.015000,-0.000400,100,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r006
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,10,color_code_distance_5_traditional_calibration_X_r010,10000,-0.008900,0.002702,0.004511,1.669682,-0.015600,-0.003900,-0.017500,-0.001100,100,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r010
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,14,color_code_distance_5_traditional_calibration_X_r014,10000,-0.016000,0.002935,0.004853,1.653714,-0.021500,-0.009600,-0.024700,-0.006800,100,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r014
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,18,color_code_distance_5_traditional_calibration_X_r018,10000,-0.022000,0.003582,0.005799,1.618997,-0.029400,-0.014500,-0.032500,-0.010400,100,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r018
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,22,color_code_distance_5_traditional_calibration_X_r022,10000,-0.021100,0.004008,0.007086,1.768072,-0.027600,-0.012900,-0.034000,-0.008000,100,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r022
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,26,color_code_distance_5_traditional_calibration_X_r026,10000,-0.024500,0.003647,0.006749,1.850755,-0.032500,-0.019300,-0.036400,-0.008600,100,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r026
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,30,color_code_distance_5_traditional_calibration_X_r030,10000,-0.017400,0.004192,0.005736,1.368144,-0.024200,-0.009100,-0.026600,-0.005000,100,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r030
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,34,color_code_distance_5_traditional_calibration_X_r034,10000,-0.026100,0.004745,0.006400,1.348800,-0.034300,-0.016400,-0.039100,-0.011300,100,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r034
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,38,color_code_distance_5_traditional_calibration_X_r038,10000,-0.022800,0.004533,0.006082,1.341733,-0.031600,-0.012300,-0.034700,-0.012300,100,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r038
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,42,color_code_distance_5_traditional_calibration_X_r042,10000,-0.024900,0.004652,0.007162,1.539328,-0.034400,-0.015500,-0.038000,-0.011000,100,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r042
