experiment_name,code_family,control_mode,basis,cycles,workload_id,transition_class,num_shots,mean_detector_event_count,mean_early_detector_count,mean_mid_detector_count,mean_late_detector_count,burst_fraction,mean_first_detector_fraction,source_data_dir
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,6,color_code_distance_5_traditional_calibration_X_r006,rescued,257,20.171206,6.750973,6.859922,6.560311,0.669261,0.092773,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r006
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,6,color_code_distance_5_traditional_calibration_X_r006,induced,184,20.353261,6.456522,6.826087,7.070652,0.663043,0.103965,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r006
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,6,color_code_distance_5_traditional_calibration_X_r006,unchanged_failure,597,20.184255,6.376884,6.994975,6.812395,0.651591,0.095415,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r006
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,6,color_code_distance_5_traditional_calibration_X_r006,unchanged_success,8962,14.526110,4.735550,4.946552,4.844008,0.299821,0.134331,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r006
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,10,color_code_distance_5_traditional_calibration_X_r010,rescued,396,30.474747,9.919192,10.507576,10.047980,0.962121,0.074214,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r010
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,10,color_code_distance_5_traditional_calibration_X_r010,induced,307,30.413681,9.384365,10.413681,10.615635,0.960912,0.082012,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r010
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,10,color_code_distance_5_traditional_calibration_X_r010,unchanged_failure,843,29.570581,9.760380,10.065243,9.744958,0.946619,0.069145,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r010
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,10,color_code_distance_5_traditional_calibration_X_r010,unchanged_success,8454,23.690916,7.812042,7.925006,7.953868,0.774781,0.090431,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r010
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,14,color_code_distance_5_traditional_calibration_X_r014,rescued,569,40.158172,12.810193,13.753954,13.594025,0.994728,0.057453,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r014
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,14,color_code_distance_5_traditional_calibration_X_r014,induced,409,40.564792,12.603912,13.892421,14.068460,0.992665,0.053440,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r014
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,14,color_code_distance_5_traditional_calibration_X_r014,unchanged_failure,1083,39.574331,12.920591,13.348107,13.305633,0.997230,0.055746,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r014
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,14,color_code_distance_5_traditional_calibration_X_r014,unchanged_success,7939,33.585842,10.890037,11.515178,11.180627,0.961078,0.064305,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r014
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,18,color_code_distance_5_traditional_calibration_X_r018,rescued,700,50.210000,16.388571,17.200000,16.621429,1.000000,0.044449,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r018
