experiment_name,control_mode,basis,cycles,calibration_rescued,calibration_induced,calibration_discordant,calibration_paired_delta_lfr,evaluation_rescued,evaluation_induced,evaluation_discordant,evaluation_paired_delta_lfr,full_rescued,full_induced,full_paired_delta_lfr,sign_consistent,delta_correlation
surface_code_reinforcement_learning,reinforcement_learning,X,10,37,23,60,0.002800,37,23,60,0.002800,74,46,-0.002800,True,0.000000
surface_code_reinforcement_learning,reinforcement_learning,X,20,81,39,120,0.008400,82,39,121,0.008600,163,78,-0.008500,True,0.023529
surface_code_reinforcement_learning,reinforcement_learning,X,30,110,62,172,0.009600,111,63,174,0.009600,221,125,-0.009600,True,0.000000
surface_code_reinforcement_learning,reinforcement_learning,X,40,165,83,248,0.016400,165,83,248,0.016400,330,166,-0.016400,True,0.000000
surface_code_reinforcement_learning,reinforcement_learning,X,50,180,100,280,0.016000,181,100,281,0.016200,361,200,-0.016100,True,0.012422
surface_code_reinforcement_learning,reinforcement_learning,X,60,212,115,327,0.019400,212,115,327,0.019400,424,230,-0.019400,True,0.000000
surface_code_reinforcement_learning,reinforcement_learning,X,70,234,125,359,0.021800,235,125,360,0.022000,469,250,-0.021900,True,0.009132
surface_code_reinforcement_learning,reinforcement_learning,X,80,316,167,483,0.029800,316,167,483,0.029800,632,334,-0.029800,True,0.000000
surface_code_reinforcement_learning,reinforcement_learning,X,90,328,165,493,0.032600,328,165,493,0.032600,656,330,-0.032600,True,0.000000
surface_code_reinforcement_learning,reinforcement_learning,X,100,343,187,530,0.031200,344,187,531,0.031400,687,374,-0.031300,True,0.006390
surface_code_reinforcement_learning,reinforcement_learning,Z,10,29,19,48,0.002000,29,20,49,0.001800,58,39,-0.001900,True,0.105263
surface_code_reinforcement_learning,reinforcement_learning,Z,20,73,30,103,0.008600,74,31,105,0.008600,147,61,-0.008600,True,0.000000
surface_code_reinforcement_learning,reinforcement_learning,Z,30,109,52,161,0.011400,109,52,161,0.011400,218,104,-0.011400,True,0.000000
surface_code_reinforcement_learning,reinforcement_learning,Z,40,146,77,223,0.013800,146,77,223,0.013800,292,154,-0.013800,True,0.000000
surface_code_reinforcement_learning,reinforcement_learning,Z,50,168,95,263,0.014600,168,95,263,0.014600,336,190,-0.014600,True,0.000000
surface_code_reinforcement_learning,reinforcement_learning,Z,60,197,113,310,0.016800,198,114,312,0.016800,395,227,-0.016800,True,0.000000
surface_code_reinforcement_learning,reinforcement_learning,Z,70,252,127,379,0.025000,253,128,381,0.025000,505,255,-0.025000,True,0.000000
surface_code_reinforcement_learning,reinforcement_learning,Z,80,254,158,412,0.019200,255,159,414,0.019200,509,317,-0.019200,True,0.000000
surface_code_reinforcement_learning,reinforcement_learning,Z,90,293,177,470,0.023200,293,177,470,0.023200,586,354,-0.023200,True,0.000000
surface_code_reinforcement_learning,reinforcement_learning,Z,100,336,194,530,0.028400,336,194,530,0.028400,672,388,-0.028400,True,0.000000
surface_code_traditional_calibration,traditional_calibration,X,10,46,20,66,0.005200,47,21,68,0.005200,93,41,-0.005200,True,0.000000
surface_code_traditional_calibration,traditional_calibration,X,20,92,52,144,0.008000,93,53,146,0.008000,185,105,-0.008000,True,0.000000
surface_code_traditional_calibration,traditional_calibration,X,30,145,62,207,0.016600,145,63,208,0.016400,290,125,-0.016500,True,0.012121
surface_code_traditional_calibration,traditional_calibration,X,40,193,92,285,0.020200,193,92,285,0.020200,386,184,-0.020200,True,0.000000
surface_code_traditional_calibration,traditional_calibration,X,50,226,118,344,0.021600,226,118,344,0.021600,452,236,-0.021600,True,0.000000
surface_code_traditional_calibration,traditional_calibration,X,60,273,139,412,0.026800,274,140,414,0.026800,547,279,-0.026800,True,0.000000
surface_code_traditional_calibration,traditional_calibration,X,70,321,173,494,0.029600,321,174,495,0.029400,642,347,-0.029500,True,0.006780
surface_code_traditional_calibration,traditional_calibration,X,80,353,192,545,0.032200,354,193,547,0.032200,707,385,-0.032200,True,0.000000
surface_code_traditional_calibration,traditional_calibration,X,90,397,212,609,0.037000,397,213,610,0.036800,794,425,-0.036900,True,0.005420
surface_code_traditional_calibration,traditional_calibration,X,100,434,262,696,0.034400,434,262,696,0.034400,868,524,-0.034400,True,0.000000
surface_code_traditional_calibration,traditional_calibration,Z,10,41,23,64,0.003600,42,24,66,0.003600,83,47,-0.003600,True,0.000000
surface_code_traditional_calibration,traditional_calibration,Z,20,79,46,125,0.006600,80,46,126,0.006800,159,92,-0.006700,True,0.029851
surface_code_traditional_calibration,traditional_calibration,Z,30,122,62,184,0.012000,123,62,185,0.012200,245,124,-0.012100,True,0.016529
surface_code_traditional_calibration,traditional_calibration,Z,40,190,95,285,0.019000,191,96,287,0.019000,381,191,-0.019000,True,0.000000
surface_code_traditional_calibration,traditional_calibration,Z,50,216,130,346,0.017200,217,130,347,0.017400,433,260,-0.017300,True,0.011561
surface_code_traditional_calibration,traditional_calibration,Z,60,254,126,380,0.025600,255,127,382,0.025600,509,253,-0.025600,True,0.000000
surface_code_traditional_calibration,traditional_calibration,Z,70,283,163,446,0.024000,284,164,448,0.024000,567,327,-0.024000,True,0.000000
surface_code_traditional_calibration,traditional_calibration,Z,80,340,201,541,0.027800,340,202,542,0.027600,680,403,-0.027700,True,0.007220
surface_code_traditional_calibration,traditional_calibration,Z,90,346,204,550,0.028400,347,204,551,0.028600,693,408,-0.028500,True,0.007018
surface_code_traditional_calibration,traditional_calibration,Z,100,415,252,667,0.032600,415,252,667,0.032600,830,504,-0.032600,True,0.000000
