condition,mode,basis,cycles,baseline_lfr,intervened_lfr,paired_delta_lfr,break_even_D4,break_even_D5,break_even_D6,break_even_D7,break_even_D8
surface_code_reinforcement_learning_X_r010,reinforcement_learning,X,10,0.024300,0.021500,0.002800,1.400000,1.600000,2.000000,2.000000,2.500000
surface_code_reinforcement_learning_X_r020,reinforcement_learning,X,20,0.049200,0.040700,0.008500,1.400000,1.800000,2.000000,2.000000,2.500000
surface_code_reinforcement_learning_X_r030,reinforcement_learning,X,30,0.067600,0.058000,0.009600,1.400000,1.800000,2.000000,2.000000,2.500000
surface_code_reinforcement_learning_X_r040,reinforcement_learning,X,40,0.087400,0.071000,0.016400,1.500000,1.800000,2.000000,2.500000,2.500000
surface_code_reinforcement_learning_X_r050,reinforcement_learning,X,50,0.104600,0.088500,0.016100,1.500000,1.800000,2.000000,2.500000,2.500000
surface_code_reinforcement_learning_X_r060,reinforcement_learning,X,60,0.127000,0.107600,0.019400,1.500000,1.800000,2.000000,2.500000,2.500000
surface_code_reinforcement_learning_X_r070,reinforcement_learning,X,70,0.142100,0.120200,0.021900,1.500000,1.800000,2.000000,2.500000,2.500000
surface_code_reinforcement_learning_X_r080,reinforcement_learning,X,80,0.162100,0.132300,0.029800,1.500000,1.800000,2.000000,2.500000,3.000000
surface_code_reinforcement_learning_X_r090,reinforcement_learning,X,90,0.178400,0.145800,0.032600,1.500000,1.800000,2.000000,2.500000,3.000000
surface_code_reinforcement_learning_X_r100,reinforcement_learning,X,100,0.191900,0.160600,0.031300,1.500000,1.800000,2.000000,2.500000,3.000000
surface_code_reinforcement_learning_Z_r010,reinforcement_learning,Z,10,0.022000,0.020100,0.001900,1.400000,1.600000,1.800000,2.000000,2.500000
surface_code_reinforcement_learning_Z_r020,reinforcement_learning,Z,20,0.043300,0.034700,0.008600,1.400000,1.800000,2.000000,2.000000,2.500000
surface_code_reinforcement_learning_Z_r030,reinforcement_learning,Z,30,0.065100,0.053700,0.011400,1.500000,1.800000,2.000000,2.500000,2.500000
surface_code_reinforcement_learning_Z_r040,reinforcement_learning,Z,40,0.083700,0.069900,0.013800,1.500000,1.800000,2.000000,2.500000,2.500000
surface_code_reinforcement_learning_Z_r050,reinforcement_learning,Z,50,0.099100,0.084500,0.014600,1.500000,1.800000,2.000000,2.500000,2.500000
