train_mode,test_mode,policy,deadline_us,tesseract_multiplier,tesseract_mu_us,tesseract_sigma_us,cm_on_time_prob,tess_on_time_prob,effective_lfr,baseline_lfr_always_cm,intervened_lfr_always_tess,deadline_feasible_fraction,num_test_conditions
reinforcement_learning,traditional_calibration,always_correlated_matching,4,1.000000,4.654000,0.499000,0.094993,0.094993,0.150465,0.150465,0.146711,0.180962,20
reinforcement_learning,traditional_calibration,always_tesseract,4,1.000000,4.654000,0.499000,0.094993,0.094993,0.146711,0.150465,0.146711,0.180962,20
reinforcement_learning,traditional_calibration,failureops_cycle_threshold,4,1.000000,4.654000,0.499000,0.094993,0.094993,0.146711,0.150465,0.146711,0.180962,20
reinforcement_learning,traditional_calibration,burden_threshold,4,1.000000,4.654000,0.499000,0.094993,0.094993,0.146711,0.150465,0.146711,0.180962,20
reinforcement_learning,traditional_calibration,always_correlated_matching,5,1.000000,4.654000,0.499000,0.755967,0.755967,0.137246,0.137246,0.117363,0.940448,20
reinforcement_learning,traditional_calibration,always_tesseract,5,1.000000,4.654000,0.499000,0.755967,0.755967,0.117363,0.137246,0.117363,0.940448,20
reinforcement_learning,traditional_calibration,failureops_cycle_threshold,5,1.000000,4.654000,0.499000,0.755967,0.755967,0.117363,0.137246,0.117363,0.940448,20
reinforcement_learning,traditional_calibration,burden_threshold,5,1.000000,4.654000,0.499000,0.755967,0.755967,0.117363,0.137246,0.117363,0.940448,20
reinforcement_learning,traditional_calibration,always_correlated_matching,6,1.000000,4.654000,0.499000,0.996506,0.996506,0.132435,0.132435,0.111020,0.999988,20
reinforcement_learning,traditional_calibration,always_tesseract,6,1.000000,4.654000,0.499000,0.996506,0.996506,0.111020,0.132435,0.111020,0.999988,20
reinforcement_learning,traditional_calibration,failureops_cycle_threshold,6,1.000000,4.654000,0.499000,0.996506,0.996506,0.111020,0.132435,0.111020,0.999988,20
reinforcement_learning,traditional_calibration,burden_threshold,6,1.000000,4.654000,0.499000,0.996506,0.996506,0.111020,0.132435,0.111020,0.999988,20
reinforcement_learning,traditional_calibration,always_correlated_matching,7,1.000000,4.654000,0.499000,0.999999,0.999999,0.132365,0.132365,0.110945,1.000000,20
