source_dataset,group_by,group_value,num_conditions,total_pairs,mean_baseline_lfr,mean_intervened_lfr,mean_paired_delta_lfr,min_paired_delta_lfr,max_paired_delta_lfr,strongest_condition,strongest_paired_delta_lfr
google_qec3v5_2022,basis,X,13,130000,0.294100,0.266208,-0.027892,-0.041500,-0.000100,qec3v5_surface_code_X_d5_r11_center_5_5,-0.041500
google_qec3v5_2022,basis,Z,13,130000,0.281892,0.255046,-0.026846,-0.042700,0.000000,qec3v5_surface_code_Z_d5_r13_center_5_5,-0.042700
google_qec3v5_2022,cycles,1,2,20000,0.008500,0.008450,-0.000050,-0.000100,0.000000,qec3v5_surface_code_X_d5_r1_center_5_5,-0.000100
google_qec3v5_2022,cycles,11,2,20000,0.295900,0.259900,-0.036000,-0.041500,-0.030500,qec3v5_surface_code_X_d5_r11_center_5_5,-0.041500
google_qec3v5_2022,cycles,13,2,20000,0.330650,0.292350,-0.038300,-0.042700,-0.033900,qec3v5_surface_code_Z_d5_r13_center_5_5,-0.042700
google_qec3v5_2022,cycles,15,2,20000,0.358800,0.321900,-0.036900,-0.041900,-0.031900,qec3v5_surface_code_Z_d5_r15_center_5_5,-0.041900
google_qec3v5_2022,cycles,17,2,20000,0.380150,0.345500,-0.034650,-0.036000,-0.033300,qec3v5_surface_code_X_d5_r17_center_5_5,-0.036000
google_qec3v5_2022,cycles,19,2,20000,0.398750,0.367300,-0.031450,-0.033500,-0.029400,qec3v5_surface_code_Z_d5_r19_center_5_5,-0.033500
google_qec3v5_2022,cycles,21,2,20000,0.417550,0.384600,-0.032950,-0.034500,-0.031400,qec3v5_surface_code_X_d5_r21_center_5_5,-0.034500
google_qec3v5_2022,cycles,23,2,20000,0.433050,0.402350,-0.030700,-0.031000,-0.030400,qec3v5_surface_code_Z_d5_r23_center_5_5,-0.031000
google_qec3v5_2022,cycles,25,2,20000,0.444700,0.417000,-0.027700,-0.032600,-0.022800,qec3v5_surface_code_X_d5_r25_center_5_5,-0.032600
google_qec3v5_2022,cycles,3,2,20000,0.074900,0.067700,-0.007200,-0.010100,-0.004300,qec3v5_surface_code_X_d5_r3_center_5_5,-0.010100
google_qec3v5_2022,cycles,5,2,20000,0.142450,0.124150,-0.018300,-0.019900,-0.016700,qec3v5_surface_code_X_d5_r5_center_5_5,-0.019900
google_qec3v5_2022,cycles,7,2,20000,0.204400,0.178150,-0.026250,-0.026500,-0.026000,qec3v5_surface_code_Z_d5_r7_center_5_5,-0.026500
google_qec3v5_2022,cycles,9,2,20000,0.254150,0.218800,-0.035350,-0.036300,-0.034400,qec3v5_surface_code_X_d5_r9_center_5_5,-0.036300
google_qec3v5_2022,distance,5,26,260000,0.287996,0.260627,-0.027369,-0.042700,0.000000,qec3v5_surface_code_Z_d5_r13_center_5_5,-0.042700
google_qec3v5_2022,all,all,26,260000,0.287996,0.260627,-0.027369,-0.042700,0.000000,qec3v5_surface_code_Z_d5_r13_center_5_5,-0.042700
