source_dataset,dataset_family,experiment_name,code_family,basis,distance,cycles,center,workload_id,baseline_decoder_pathway,intervened_decoder_pathway,num_pairs,baseline_failure_count,intervened_failure_count,rescued_failure_count,induced_failure_count,unchanged_failure_count,unchanged_success_count,net_rescue_count,baseline_lfr,intervened_lfr,paired_delta_lfr,net_rescue_rate,rescue_rate_among_baseline_failures,induction_rate_among_baseline_successes,mean_detector_event_count,source_data_dir
google_qec3v5_2022,google_surface_code_scaling_2022,surface_code_bX_d5_r01_center_5_5,surface_code_memory,X,5,1,5_5,qec3v5_surface_code_X_d5_r1_center_5_5,pymatching,correlated_matching,10000,94,93,1,0,93,9906,1,0.009400,0.009300,-0.000100,0.000100,0.010638,0.000000,1.787300,data/raw/google_qec3v5/surface_code_bX_d5_r01_center_5_5
google_qec3v5_2022,google_surface_code_scaling_2022,surface_code_bX_d5_r03_center_5_5,surface_code_memory,X,5,3,5_5,qec3v5_surface_code_X_d5_r3_center_5_5,pymatching,correlated_matching,10000,843,742,278,177,565,8980,101,0.084300,0.074200,-0.010100,0.010100,0.329775,0.019329,9.375800,data/raw/google_qec3v5/surface_code_bX_d5_r03_center_5_5
google_qec3v5_2022,google_surface_code_scaling_2022,surface_code_bX_d5_r05_center_5_5,surface_code_memory,X,5,5,5_5,qec3v5_surface_code_X_d5_r5_center_5_5,pymatching,correlated_matching,10000,1499,1300,559,360,940,8141,199,0.149900,0.130000,-0.019900,0.019900,0.372915,0.042348,16.658400,data/raw/google_qec3v5/surface_code_bX_d5_r05_center_5_5
google_qec3v5_2022,google_surface_code_scaling_2022,surface_code_bX_d5_r07_center_5_5,surface_code_memory,X,5,7,5_5,qec3v5_surface_code_X_d5_r7_center_5_5,pymatching,correlated_matching,10000,2090,1830,798,538,1292,7372,260,0.209000,0.183000,-0.026000,0.026000,0.381818,0.068015,24.282400,data/raw/google_qec3v5/surface_code_bX_d5_r07_center_5_5
google_qec3v5_2022,google_surface_code_scaling_2022,surface_code_bX_d5_r09_center_5_5,surface_code_memory,X,5,9,5_5,qec3v5_surface_code_X_d5_r9_center_5_5,pymatching,correlated_matching,10000,2622,2259,1034,671,1588,6707,363,0.262200,0.225900,-0.036300,0.036300,0.394355,0.090946,32.307300,data/raw/google_qec3v5/surface_code_bX_d5_r09_center_5_5
google_qec3v5_2022,google_surface_code_scaling_2022,surface_code_bX_d5_r11_center_5_5,surface_code_memory,X,5,11,5_5,qec3v5_surface_code_X_d5_r11_center_5_5,pymatching,correlated_matching,10000,3087,2672,1225,810,1862,6103,415,0.308700,0.267200,-0.041500,0.041500,0.396825,0.117171,40.169600,data/raw/google_qec3v5/surface_code_bX_d5_r11_center_5_5
google_qec3v5_2022,google_surface_code_scaling_2022,surface_code_bX_d5_r13_center_5_5,surface_code_memory,X,5,13,5_5,qec3v5_surface_code_X_d5_r13_center_5_5,pymatching,correlated_matching,10000,3286,2947,1364,1025,1922,5689,339,0.328600,0.294700,-0.033900,0.033900,0.415094,0.152666,47.411700,data/raw/google_qec3v5/surface_code_bX_d5_r13_center_5_5
google_qec3v5_2022,google_surface_code_scaling_2022,surface_code_bX_d5_r15_center_5_5,surface_code_memory,X,5,15,5_5,qec3v5_surface_code_X_d5_r15_center_5_5,pymatching,correlated_matching,10000,3606,3287,1465,1146,2141,5248,319,0.360600,0.328700,-0.031900,0.031900,0.406267,0.179231,55.634700,data/raw/google_qec3v5/surface_code_bX_d5_r15_center_5_5
google_qec3v5_2022,google_surface_code_scaling_2022,surface_code_bX_d5_r17_center_5_5,surface_code_memory,X,5,17,5_5,qec3v5_surface_code_X_d5_r17_center_5_5,pymatching,correlated_matching,10000,3798,3438,1617,1257,2181,4945,360,0.379800,0.343800,-0.036000,0.036000,0.425750,0.202677,64.053600,data/raw/google_qec3v5/surface_code_bX_d5_r17_center_5_5
google_qec3v5_2022,google_surface_code_scaling_2022,surface_code_bX_d5_r19_center_5_5,surface_code_memory,X,5,19,5_5,qec3v5_surface_code_X_d5_r19_center_5_5,pymatching,correlated_matching,10000,4110,3816,1722,1428,2388,4462,294,0.411000,0.381600,-0.029400,0.029400,0.418978,0.242445,71.727300,data/raw/google_qec3v5/surface_code_bX_d5_r19_center_5_5
