experiment_name,control_mode,basis,cycles,full_rescued,full_induced,full_paired_delta_lfr,subsample_50pct_rescued_mean,subsample_50pct_induced_mean,subsample_50pct_delta_lfr_mean,subsample_50pct_delta_lfr_min,subsample_50pct_delta_lfr_max,subsample_50pct_sign_negative_fraction,subsample_25pct_delta_lfr_mean,subsample_25pct_sign_negative_fraction,subsample_12_5pct_delta_lfr_mean,subsample_12_5pct_sign_negative_fraction
surface_code_reinforcement_learning,reinforcement_learning,X,10,74,46,-0.002800,36.786000,22.886000,0.002780,-0.002400,0.007000,0.038000,0.002818,0.080000,0.003042,0.114000
surface_code_reinforcement_learning,reinforcement_learning,X,20,163,78,-0.008500,81.700000,38.936000,0.008553,0.002600,0.013600,0.000000,0.008591,0.000000,0.008405,0.012000
surface_code_reinforcement_learning,reinforcement_learning,X,30,221,125,-0.009600,110.856000,62.342000,0.009703,0.002400,0.016400,0.000000,0.009505,0.006000,0.009368,0.034000
surface_code_reinforcement_learning,reinforcement_learning,X,40,330,166,-0.016400,164.398000,82.582000,0.016363,0.007200,0.026400,0.000000,0.016404,0.000000,0.016235,0.000000
surface_code_reinforcement_learning,reinforcement_learning,X,50,361,200,-0.016100,180.734000,99.678000,0.016211,0.004400,0.026000,0.000000,0.016029,0.000000,0.016096,0.008000
surface_code_reinforcement_learning,reinforcement_learning,X,60,424,230,-0.019400,212.444000,115.078000,0.019473,0.007400,0.032800,0.000000,0.019407,0.000000,0.019203,0.004000
surface_code_reinforcement_learning,reinforcement_learning,X,70,469,250,-0.021900,234.166000,125.252000,0.021783,0.009800,0.032600,0.000000,0.022020,0.000000,0.022722,0.000000
surface_code_reinforcement_learning,reinforcement_learning,X,80,632,334,-0.029800,314.524000,168.452000,0.029214,0.017600,0.042000,0.000000,0.029674,0.000000,0.030336,0.000000
surface_code_reinforcement_learning,reinforcement_learning,X,90,656,330,-0.032600,327.842000,164.448000,0.032679,0.019200,0.046400,0.000000,0.032504,0.000000,0.032546,0.000000
surface_code_reinforcement_learning,reinforcement_learning,X,100,687,374,-0.031300,343.868000,187.928000,0.031188,0.018000,0.044200,0.000000,0.031425,0.000000,0.031682,0.000000
surface_code_reinforcement_learning,reinforcement_learning,Z,10,58,39,-0.001900,29.378000,19.432000,0.001989,-0.001800,0.006400,0.070000,0.001917,0.132000,0.002154,0.172000
surface_code_reinforcement_learning,reinforcement_learning,Z,20,147,61,-0.008600,73.408000,30.842000,0.008513,0.002200,0.014400,0.000000,0.008682,0.000000,0.008467,0.008000
surface_code_reinforcement_learning,reinforcement_learning,Z,30,218,104,-0.011400,108.740000,51.712000,0.011406,0.003400,0.019600,0.000000,0.011302,0.000000,0.011840,0.004000
