analysis_scope,unit_id,intervention,num_pairs,rescued_failure_count,induced_failure_count,discordant_pair_count,paired_delta_lfr,net_rescue_rate,effect_direction,mcnemar_exact_p,holm_adjusted_p,significant_after_holm_0_05,interpretation,source_artifact
external_qec3v5_decoder_pathway,qec3v5_surface_code_X_d5_r11_center_5_5,pymatching->correlated_matching,10000,1225,810,2035,-0.041500,0.041500,rescues_more_than_induces,3.28809e-20,2.05736e-16,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_qec3v5_external_decoder_effect_matrix.csv
external_qec3v5_decoder_pathway,qec3v5_surface_code_X_d5_r13_center_5_5,pymatching->correlated_matching,10000,1364,1025,2389,-0.033900,0.033900,rescues_more_than_induces,4.30959e-12,2.53275e-08,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_qec3v5_external_decoder_effect_matrix.csv
external_qec3v5_decoder_pathway,qec3v5_surface_code_X_d5_r15_center_5_5,pymatching->correlated_matching,10000,1465,1146,2611,-0.031900,0.031900,rescues_more_than_induces,4.63832e-10,2.56638e-06,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_qec3v5_external_decoder_effect_matrix.csv
external_qec3v5_decoder_pathway,qec3v5_surface_code_X_d5_r17_center_5_5,pymatching->correlated_matching,10000,1617,1257,2874,-0.036000,0.036000,rescues_more_than_induces,2.01254e-11,1.16566e-07,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_qec3v5_external_decoder_effect_matrix.csv
external_qec3v5_decoder_pathway,qec3v5_surface_code_X_d5_r19_center_5_5,pymatching->correlated_matching,10000,1722,1428,3150,-0.029400,0.029400,rescues_more_than_induces,1.74966e-07,0.000827764,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_qec3v5_external_decoder_effect_matrix.csv
external_qec3v5_decoder_pathway,qec3v5_surface_code_X_d5_r1_center_5_5,pymatching->correlated_matching,10000,1,0,1,-0.000100,0.000100,rescues_more_than_induces,1,1,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_qec3v5_external_decoder_effect_matrix.csv
external_qec3v5_decoder_pathway,qec3v5_surface_code_X_d5_r21_center_5_5,pymatching->correlated_matching,10000,1824,1479,3303,-0.034500,0.034500,rescues_more_than_induces,2.08771e-09,1.12131e-05,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_qec3v5_external_decoder_effect_matrix.csv
external_qec3v5_decoder_pathway,qec3v5_surface_code_X_d5_r23_center_5_5,pymatching->correlated_matching,10000,1894,1590,3484,-0.030400,0.030400,rescues_more_than_induces,2.79898e-07,0.00130041,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_qec3v5_external_decoder_effect_matrix.csv
external_qec3v5_decoder_pathway,qec3v5_surface_code_X_d5_r25_center_5_5,pymatching->correlated_matching,10000,2002,1676,3678,-0.032600,0.032600,rescues_more_than_induces,8.21699e-08,0.000398113,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_qec3v5_external_decoder_effect_matrix.csv
external_qec3v5_decoder_pathway,qec3v5_surface_code_X_d5_r3_center_5_5,pymatching->correlated_matching,10000,278,177,455,-0.010100,0.010100,rescues_more_than_induces,2.52121e-06,0.0105513,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_qec3v5_external_decoder_effect_matrix.csv
external_qec3v5_decoder_pathway,qec3v5_surface_code_X_d5_r5_center_5_5,pymatching->correlated_matching,10000,559,360,919,-0.019900,0.019900,rescues_more_than_induces,5.50803e-11,3.15114e-07,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_qec3v5_external_decoder_effect_matrix.csv
external_qec3v5_decoder_pathway,qec3v5_surface_code_X_d5_r7_center_5_5,pymatching->correlated_matching,10000,798,538,1336,-0.026000,0.026000,rescues_more_than_induces,1.17758e-12,6.99247e-09,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_qec3v5_external_decoder_effect_matrix.csv
external_qec3v5_decoder_pathway,qec3v5_surface_code_X_d5_r9_center_5_5,pymatching->correlated_matching,10000,1034,671,1705,-0.036300,0.036300,rescues_more_than_induces,1.36876e-18,8.53559e-15,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_qec3v5_external_decoder_effect_matrix.csv
external_qec3v5_decoder_pathway,qec3v5_surface_code_Z_d5_r11_center_5_5,pymatching->correlated_matching,10000,1138,833,1971,-0.030500,0.030500,rescues_more_than_induces,6.84413e-12,4.00518e-08,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_qec3v5_external_decoder_effect_matrix.csv
external_qec3v5_decoder_pathway,qec3v5_surface_code_Z_d5_r13_center_5_5,pymatching->correlated_matching,10000,1391,964,2355,-0.042700,0.042700,rescues_more_than_induces,1.34059e-18,8.36126e-15,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_qec3v5_external_decoder_effect_matrix.csv
external_qec3v5_decoder_pathway,qec3v5_surface_code_Z_d5_r15_center_5_5,pymatching->correlated_matching,10000,1548,1129,2677,-0.041900,0.041900,rescues_more_than_induces,5.71684e-16,3.51872e-12,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_qec3v5_external_decoder_effect_matrix.csv
external_qec3v5_decoder_pathway,qec3v5_surface_code_Z_d5_r17_center_5_5,pymatching->correlated_matching,10000,1605,1272,2877,-0.033300,0.033300,rescues_more_than_induces,5.77687e-10,3.1819e-06,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_qec3v5_external_decoder_effect_matrix.csv
external_qec3v5_decoder_pathway,qec3v5_surface_code_Z_d5_r19_center_5_5,pymatching->correlated_matching,10000,1674,1339,3013,-0.033500,0.033500,rescues_more_than_induces,1.12279e-09,6.12257e-06,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_qec3v5_external_decoder_effect_matrix.csv
external_qec3v5_decoder_pathway,qec3v5_surface_code_Z_d5_r1_center_5_5,pymatching->correlated_matching,10000,0,0,0,0.000000,0.000000,no_net_transition,1,1,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_qec3v5_external_decoder_effect_matrix.csv
external_qec3v5_decoder_pathway,qec3v5_surface_code_Z_d5_r21_center_5_5,pymatching->correlated_matching,10000,1761,1447,3208,-0.031400,0.031400,rescues_more_than_induces,3.19388e-08,0.000159662,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_qec3v5_external_decoder_effect_matrix.csv
external_qec3v5_decoder_pathway,qec3v5_surface_code_Z_d5_r23_center_5_5,pymatching->correlated_matching,10000,1867,1557,3424,-0.031000,0.031000,rescues_more_than_induces,1.26278e-07,0.000603735,True,Exact paired test over discordant rescued/induced transitions.,data/results/p10_qec3v5_external_decoder_effect_matrix.csv
external_qec3v5_decoder_pathway,qec3v5_surface_code_Z_d5_r25_center_5_5,pymatching->correlated_matching,10000,1905,1677,3582,-0.022800,0.022800,rescues_more_than_induces,0.000148234,0.458488,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_qec3v5_external_decoder_effect_matrix.csv
external_qec3v5_decoder_pathway,qec3v5_surface_code_Z_d5_r3_center_5_5,pymatching->correlated_matching,10000,222,179,401,-0.004300,0.004300,rescues_more_than_induces,0.0358287,1,False,Exact paired test over discordant rescued/induced transitions.,data/results/p10_qec3v5_external_decoder_effect_matrix.csv
