intervention,num_rows,baseline_failure_count,intervened_failure_count,rescued_failure_count,dominant_baseline_failure_pattern,dominant_intervened_failure_pattern,rescued_failures_by_baseline_pattern,baseline_pattern_distribution,intervened_pattern_distribution,timeout_correlated_delta_count,idle_correlated_delta_count,syndrome_burst_delta_count,syndrome_decoding_mismatch_delta_count
eliminate_decoder_backlog,1000,96,23,73,timeout_correlated,timeout_correlated,"{""idle_correlated"":21,""timeout_correlated"":52}","{""idle_correlated"":21,""no_failure"":904,""syndrome_decoding_mismatch"":3,""timeout_correlated"":72}","{""idle_correlated"":1,""no_failure"":977,""syndrome_decoding_mismatch"":3,""timeout_correlated"":19}",-53,-20,0,0
remove_measurement_noise,1000,96,24,85,timeout_correlated,timeout_correlated,"{""idle_correlated"":20,""syndrome_decoding_mismatch"":3,""timeout_correlated"":62}","{""idle_correlated"":21,""no_failure"":904,""syndrome_decoding_mismatch"":3,""timeout_correlated"":72}","{""idle_correlated"":4,""no_failure"":976,""syndrome_decoding_mismatch"":1,""timeout_correlated"":19}",-53,-17,0,-2
increase_decoder_capacity_2x,1000,96,32,64,timeout_correlated,timeout_correlated,"{""idle_correlated"":19,""timeout_correlated"":45}","{""idle_correlated"":21,""no_failure"":904,""syndrome_decoding_mismatch"":3,""timeout_correlated"":72}","{""idle_correlated"":3,""no_failure"":968,""syndrome_decoding_mismatch"":3,""timeout_correlated"":26}",-46,-18,0,0
remove_data_noise,1000,96,32,89,timeout_correlated,timeout_correlated,"{""idle_correlated"":18,""syndrome_decoding_mismatch"":3,""timeout_correlated"":68}","{""idle_correlated"":21,""no_failure"":904,""syndrome_decoding_mismatch"":3,""timeout_correlated"":72}","{""idle_correlated"":11,""no_failure"":968,""timeout_correlated"":21}",-51,-10,0,-3
reduce_idle_exposure_50pct,1000,96,39,61,timeout_correlated,timeout_correlated,"{""idle_correlated"":21,""timeout_correlated"":40}","{""idle_correlated"":21,""no_failure"":904,""syndrome_decoding_mismatch"":3,""timeout_correlated"":72}","{""no_failure"":961,""syndrome_decoding_mismatch"":3,""timeout_correlated"":36}",-36,-21,0,0
remove_decoder_timeout,1000,96,39,59,timeout_correlated,idle_correlated,"{""timeout_correlated"":59}","{""idle_correlated"":21,""no_failure"":904,""syndrome_decoding_mismatch"":3,""timeout_correlated"":72}","{""idle_correlated"":36,""no_failure"":961,""syndrome_decoding_mismatch"":3}",-72,15,0,0
weaken_measurement_noise_50pct,1000,96,42,81,timeout_correlated,timeout_correlated,"{""idle_correlated"":19,""syndrome_decoding_mismatch"":3,""timeout_correlated"":59}","{""idle_correlated"":21,""no_failure"":904,""syndrome_decoding_mismatch"":3,""timeout_correlated"":72}","{""idle_correlated"":8,""no_failure"":958,""syndrome_decoding_mismatch"":1,""timeout_correlated"":33}",-39,-13,0,-2
weaken_data_noise_50pct,1000,96,56,76,timeout_correlated,timeout_correlated,"{""idle_correlated"":17,""syndrome_decoding_mismatch"":3,""timeout_correlated"":56}","{""idle_correlated"":21,""no_failure"":904,""syndrome_decoding_mismatch"":3,""timeout_correlated"":72}","{""idle_correlated"":14,""no_failure"":944,""syndrome_decoding_mismatch"":1,""timeout_correlated"":41}",-31,-7,0,-2
relax_timeout_policy,1000,96,57,39,timeout_correlated,idle_correlated,"{""timeout_correlated"":39}","{""idle_correlated"":21,""no_failure"":904,""syndrome_decoding_mismatch"":3,""timeout_correlated"":72}","{""idle_correlated"":30,""no_failure"":943,""syndrome_decoding_mismatch"":3,""timeout_correlated"":24}",-48,9,0,0
reduce_decoder_delay_50pct,1000,96,58,40,timeout_correlated,timeout_correlated,"{""idle_correlated"":12,""timeout_correlated"":28}","{""idle_correlated"":21,""no_failure"":904,""syndrome_decoding_mismatch"":3,""timeout_correlated"":72}","{""idle_correlated"":9,""no_failure"":942,""syndrome_decoding_mismatch"":3,""timeout_correlated"":46}",-26,-12,0,0
remove_idle_noise,1000,96,60,80,timeout_correlated,timeout_correlated,"{""idle_correlated"":19,""syndrome_decoding_mismatch"":3,""timeout_correlated"":58}","{""idle_correlated"":21,""no_failure"":904,""syndrome_decoding_mismatch"":3,""timeout_correlated"":72}","{""idle_correlated"":15,""no_failure"":940,""syndrome_decoding_mismatch"":4,""timeout_correlated"":41}",-31,-6,0,1
weaken_idle_noise_50pct,1000,96,78,72,timeout_correlated,timeout_correlated,"{""idle_correlated"":18,""syndrome_decoding_mismatch"":2,""timeout_correlated"":52}","{""idle_correlated"":21,""no_failure"":904,""syndrome_decoding_mismatch"":3,""timeout_correlated"":72}","{""idle_correlated"":12,""no_failure"":922,""syndrome_decoding_mismatch"":1,""timeout_correlated"":65}",-7,-9,0,-2
increase_synchronization_slack,1000,96,84,14,timeout_correlated,timeout_correlated,"{""idle_correlated"":5,""timeout_correlated"":9}","{""idle_correlated"":21,""no_failure"":904,""syndrome_decoding_mismatch"":3,""timeout_correlated"":72}","{""idle_correlated"":16,""no_failure"":916,""syndrome_decoding_mismatch"":3,""timeout_correlated"":65}",-7,-5,0,0
