intervention,num_seeds,mean_baseline_lfr,mean_intervened_lfr,mean_absolute_delta_lfr,std_absolute_delta_lfr,ci95_absolute_delta_lfr,mean_rescue_rate,std_rescue_rate
remove_measurement_noise,10,0.082700,0.027600,-0.055100,0.008185,0.005073,0.907601,0.027418
eliminate_decoder_backlog,10,0.082700,0.027700,-0.055000,0.008287,0.005136,0.697330,0.063032
remove_data_noise,10,0.082700,0.029400,-0.053300,0.008460,0.005243,0.897459,0.040628
increase_decoder_capacity_2x,10,0.082700,0.034500,-0.048200,0.006268,0.003885,0.620998,0.045256
reduce_idle_exposure_50pct,10,0.082700,0.040900,-0.041800,0.006746,0.004181,0.591466,0.026696
remove_decoder_timeout,10,0.082700,0.042600,-0.040100,0.009905,0.006139,0.547783,0.061457
weaken_measurement_noise_50pct,10,0.082700,0.048800,-0.033900,0.009061,0.005616,0.856794,0.043885
reduce_decoder_delay_50pct,10,0.082700,0.051300,-0.031400,0.004452,0.002760,0.434194,0.034912
weaken_data_noise_50pct,10,0.082700,0.051300,-0.031400,0.008959,0.005553,0.850959,0.032540
relax_timeout_policy,10,0.082700,0.058600,-0.024100,0.008239,0.005106,0.326464,0.060537
remove_idle_noise,10,0.082700,0.064500,-0.018200,0.010293,0.006380,0.824066,0.040666
increase_synchronization_slack,10,0.082700,0.067100,-0.015600,0.005582,0.003460,0.198862,0.054275
weaken_idle_noise_50pct,10,0.082700,0.075500,-0.007200,0.010196,0.006319,0.791754,0.043248
