stress_level,intervention,num_seeds,num_shots_per_seed,decoder_timeout_base_rate,decoder_capacity,synchronization_slack,mean_baseline_lfr,mean_intervened_lfr,mean_absolute_delta_lfr,std_absolute_delta_lfr,ci95_absolute_delta_lfr,mean_rescue_rate
low,remove_decoder_timeout,3,1000,0.005000,6.000000,0.600000,0.026333,0.006667,-0.019667,0.005508,0.006232,0.788632
low,remove_data_noise,3,1000,0.005000,6.000000,0.600000,0.026333,0.007333,-0.019000,0.007810,0.008838,0.887372
low,remove_measurement_noise,3,1000,0.005000,6.000000,0.600000,0.026333,0.009667,-0.016667,0.009609,0.010874,0.928571
low,weaken_data_noise_50pct,3,1000,0.005000,6.000000,0.600000,0.026333,0.013000,-0.013333,0.002082,0.002356,0.904995
low,relax_timeout_policy,3,1000,0.005000,6.000000,0.600000,0.026333,0.016000,-0.010333,0.005859,0.006631,0.404762
low,weaken_measurement_noise_50pct,3,1000,0.005000,6.000000,0.600000,0.026333,0.017000,-0.009333,0.004041,0.004573,0.865430
low,reduce_decoder_delay_50pct,3,1000,0.005000,6.000000,0.600000,0.026333,0.020667,-0.005667,0.003215,0.003638,0.274860
low,reduce_idle_exposure_50pct,3,1000,0.005000,6.000000,0.600000,0.026333,0.020667,-0.005667,0.002517,0.002848,0.288749
low,eliminate_decoder_backlog,3,1000,0.005000,6.000000,0.600000,0.026333,0.021000,-0.005333,0.003512,0.003974,0.225140
low,increase_decoder_capacity_2x,3,1000,0.005000,6.000000,0.600000,0.026333,0.021000,-0.005333,0.003512,0.003974,0.225140
low,remove_idle_noise,3,1000,0.005000,6.000000,0.600000,0.026333,0.023333,-0.003000,0.008660,0.009800,0.822012
low,weaken_idle_noise_50pct,3,1000,0.005000,6.000000,0.600000,0.026333,0.025333,-0.001000,0.009539,0.010795,0.823880
low,increase_synchronization_slack,3,1000,0.005000,6.000000,0.600000,0.026333,0.026333,0.000000,0.000000,0.000000,0.000000
medium,remove_measurement_noise,3,1000,0.020000,3.000000,0.250000,0.084000,0.025667,-0.058333,0.012662,0.014329,0.905217
medium,eliminate_decoder_backlog,3,1000,0.020000,3.000000,0.250000,0.084000,0.027667,-0.056333,0.015275,0.017286,0.698212
medium,remove_data_noise,3,1000,0.020000,3.000000,0.250000,0.084000,0.029333,-0.054667,0.012858,0.014550,0.906591
medium,increase_decoder_capacity_2x,3,1000,0.020000,3.000000,0.250000,0.084000,0.033667,-0.050333,0.011846,0.013405,0.621668
medium,remove_decoder_timeout,3,1000,0.020000,3.000000,0.250000,0.084000,0.039667,-0.044333,0.014189,0.016057,0.583488
medium,reduce_idle_exposure_50pct,3,1000,0.020000,3.000000,0.250000,0.084000,0.040333,-0.043667,0.011719,0.013261,0.606490
medium,weaken_measurement_noise_50pct,3,1000,0.020000,3.000000,0.250000,0.084000,0.046667,-0.037333,0.016503,0.018674,0.820121
medium,reduce_decoder_delay_50pct,3,1000,0.020000,3.000000,0.250000,0.084000,0.051333,-0.032667,0.004726,0.005348,0.444205
medium,weaken_data_noise_50pct,3,1000,0.020000,3.000000,0.250000,0.084000,0.055000,-0.029000,0.010149,0.011485,0.828673
medium,relax_timeout_policy,3,1000,0.020000,3.000000,0.250000,0.084000,0.057667,-0.026333,0.013013,0.014725,0.328772
medium,remove_idle_noise,3,1000,0.020000,3.000000,0.250000,0.084000,0.064333,-0.019667,0.016010,0.018117,0.798487
medium,weaken_idle_noise_50pct,3,1000,0.020000,3.000000,0.250000,0.084000,0.070333,-0.013667,0.009292,0.010514,0.785327
medium,increase_synchronization_slack,3,1000,0.020000,3.000000,0.250000,0.084000,0.071000,-0.013000,0.001000,0.001132,0.178179
high,eliminate_decoder_backlog,3,1000,0.040000,2.000000,0.100000,0.126667,0.035667,-0.091000,0.009849,0.011145,0.757481
high,remove_measurement_noise,3,1000,0.040000,2.000000,0.100000,0.126667,0.051667,-0.075000,0.007550,0.008543,0.870612
high,remove_data_noise,3,1000,0.040000,2.000000,0.100000,0.126667,0.053000,-0.073667,0.009609,0.010874,0.871235
high,reduce_idle_exposure_50pct,3,1000,0.040000,2.000000,0.100000,0.126667,0.063000,-0.063667,0.008083,0.009147,0.612806
high,increase_decoder_capacity_2x,3,1000,0.040000,2.000000,0.100000,0.126667,0.065667,-0.061000,0.007550,0.008543,0.519680
high,remove_decoder_timeout,3,1000,0.040000,2.000000,0.100000,0.126667,0.070667,-0.056000,0.003000,0.003395,0.514449
high,weaken_measurement_noise_50pct,3,1000,0.040000,2.000000,0.100000,0.126667,0.080000,-0.046667,0.015044,0.017024,0.763081
high,reduce_decoder_delay_50pct,3,1000,0.040000,2.000000,0.100000,0.126667,0.088667,-0.038000,0.002000,0.002263,0.374119
high,weaken_data_noise_50pct,3,1000,0.040000,2.000000,0.100000,0.126667,0.092667,-0.034000,0.005000,0.005658,0.764247
high,relax_timeout_policy,3,1000,0.040000,2.000000,0.100000,0.126667,0.095333,-0.031333,0.003512,0.003974,0.280197
high,remove_idle_noise,3,1000,0.040000,2.000000,0.100000,0.126667,0.101333,-0.025333,0.006658,0.007535,0.715360
high,increase_synchronization_slack,3,1000,0.040000,2.000000,0.100000,0.126667,0.108333,-0.018333,0.006658,0.007535,0.174528
high,weaken_idle_noise_50pct,3,1000,0.040000,2.000000,0.100000,0.126667,0.121333,-0.005333,0.007767,0.008790,0.699206
