shot_id,seed,intervention,baseline_logical_failure,intervened_logical_failure,baseline_failure_round,intervened_failure_round,baseline_failure_mode,intervened_failure_mode,baseline_failure_pattern,intervened_failure_pattern,rescued_failure,new_failure
0,42,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
1,43,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
2,44,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
3,45,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
4,46,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
5,47,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
6,48,remove_data_noise,False,True,,1,none,timeout_sensitive,no_failure,timeout_correlated,False,True
7,49,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
8,50,remove_data_noise,False,True,,3,none,timeout_sensitive,no_failure,timeout_correlated,False,True
9,51,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
10,52,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
11,53,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
12,54,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
13,55,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
14,56,remove_data_noise,True,False,1,,timeout_sensitive,none,timeout_correlated,no_failure,True,False
15,57,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
16,58,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
17,59,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
18,60,remove_data_noise,False,True,,0,none,timeout_sensitive,no_failure,timeout_correlated,False,True
19,61,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
20,62,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
21,63,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
22,64,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
23,65,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
24,66,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
25,67,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
26,68,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
27,69,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
28,70,remove_data_noise,True,False,0,,timeout_sensitive,none,timeout_correlated,no_failure,True,False
29,71,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
30,72,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
31,73,remove_data_noise,True,False,0,,timeout_sensitive,none,timeout_correlated,no_failure,True,False
32,74,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
33,75,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
34,76,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
35,77,remove_data_noise,True,False,0,,timeout_sensitive,none,timeout_correlated,no_failure,True,False
36,78,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
37,79,remove_data_noise,False,True,,2,none,timeout_sensitive,no_failure,timeout_correlated,False,True
38,80,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
39,81,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
40,82,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
41,83,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
42,84,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
43,85,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
44,86,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
45,87,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
46,88,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
47,89,remove_data_noise,True,False,1,,timeout_sensitive,none,timeout_correlated,no_failure,True,False
48,90,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
49,91,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
50,92,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
51,93,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
52,94,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
53,95,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
54,96,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
55,97,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
56,98,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
57,99,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
58,100,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
59,101,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
60,102,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
61,103,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
62,104,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
63,105,remove_data_noise,True,False,3,,runtime_idle_flip,none,idle_correlated,no_failure,True,False
64,106,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
65,107,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
66,108,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
67,109,remove_data_noise,True,False,3,,runtime_idle_flip,none,idle_correlated,no_failure,True,False
68,110,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
69,111,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
70,112,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
71,113,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
72,114,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
73,115,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
74,116,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
75,117,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
76,118,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
77,119,remove_data_noise,False,True,,0,none,runtime_idle_flip,no_failure,idle_correlated,False,True
78,120,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
79,121,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
80,122,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
81,123,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
82,124,remove_data_noise,True,False,0,,timeout_sensitive,none,timeout_correlated,no_failure,True,False
83,125,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
84,126,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
85,127,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
86,128,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
87,129,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
88,130,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
89,131,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
90,132,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
91,133,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
92,134,remove_data_noise,True,False,1,,timeout_sensitive,none,timeout_correlated,no_failure,True,False
93,135,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
94,136,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
95,137,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
96,138,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
97,139,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
98,140,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
99,141,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
100,142,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
101,143,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
102,144,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
103,145,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
104,146,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
105,147,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
106,148,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
107,149,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
108,150,remove_data_noise,False,True,,3,none,runtime_idle_flip,no_failure,idle_correlated,False,True
109,151,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
110,152,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
111,153,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
112,154,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
113,155,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
114,156,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
115,157,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
116,158,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
117,159,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
118,160,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
119,161,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
120,162,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
121,163,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
122,164,remove_data_noise,True,False,7,,timeout_sensitive,none,timeout_correlated,no_failure,True,False
123,165,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
124,166,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
125,167,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
126,168,remove_data_noise,False,False,,,none,none,no_failure,no_failure,False,False
