method,workload_id,stress_level,num_groups,num_shots,mean_absolute_delta_lfr,std_absolute_delta_lfr,ci95_absolute_delta_lfr,mean_rescue_rate,top_intervention,top_intervention_delta_lfr
noise_only_attribution,idle_heavy_memory,high,6,200,-0.125833,0.047897,0.038326,0.459770,remove_data_noise,-0.190000
paired_counterfactual,idle_heavy_memory,high,13,200,-0.112308,0.079834,0.043398,0.420424,remove_decoder_queueing,-0.200000
plain_lfr_reporting,idle_heavy_memory,high,1,200,0.000000,0.000000,0.000000,0.000000,baseline_lfr=0.290000,0.000000
runtime_only_attribution,idle_heavy_memory,high,7,200,-0.100714,0.102446,0.075893,0.386699,remove_decoder_queueing,-0.200000
static_label_attribution,idle_heavy_memory,high,3,200,0.000000,0.000000,0.000000,0.000000,dominant_pattern=deadline_miss:35,0.000000
noise_only_attribution,idle_heavy_memory,low,6,200,0.000000,0.000000,0.000000,0.000000,remove_data_noise,0.000000
paired_counterfactual,idle_heavy_memory,low,13,200,0.000000,0.000000,0.000000,0.000000,increase_decoder_service_rate_2x,0.000000
plain_lfr_reporting,idle_heavy_memory,low,1,200,0.000000,0.000000,0.000000,0.000000,baseline_lfr=0.000000,0.000000
runtime_only_attribution,idle_heavy_memory,low,7,200,0.000000,0.000000,0.000000,0.000000,increase_decoder_service_rate_2x,0.000000
static_label_attribution,idle_heavy_memory,low,0,200,0.000000,0.000000,0.000000,0.000000,dominant_pattern=no_failure:0,0.000000
noise_only_attribution,memory_x,high,6,200,-0.107500,0.042279,0.033830,0.570175,remove_data_noise,-0.160000
paired_counterfactual,memory_x,high,13,200,-0.106923,0.057138,0.031061,0.574899,remove_decoder_queueing,-0.185000
plain_lfr_reporting,memory_x,high,1,200,0.000000,0.000000,0.000000,0.000000,baseline_lfr=0.190000,0.000000
runtime_only_attribution,memory_x,high,7,200,-0.106429,0.070988,0.052589,0.578948,remove_decoder_queueing,-0.185000
static_label_attribution,memory_x,high,2,200,0.000000,0.000000,0.000000,0.000000,dominant_pattern=deadline_miss:20,0.000000
noise_only_attribution,memory_x,low,6,200,0.000000,0.000000,0.000000,0.000000,remove_data_noise,0.000000
paired_counterfactual,memory_x,low,13,200,0.000000,0.000000,0.000000,0.000000,increase_decoder_service_rate_2x,0.000000
plain_lfr_reporting,memory_x,low,1,200,0.000000,0.000000,0.000000,0.000000,baseline_lfr=0.000000,0.000000
runtime_only_attribution,memory_x,low,7,200,0.000000,0.000000,0.000000,0.000000,increase_decoder_service_rate_2x,0.000000
static_label_attribution,memory_x,low,0,200,0.000000,0.000000,0.000000,0.000000,dominant_pattern=no_failure:0,0.000000
