run_id,workload_id,circuit_id,backend,code_family,distance,num_rounds,shot_id,seed,stress_level,data_error_rate,measurement_error_rate,idle_error_rate,decoder_timeout_base_rate,detector_load_scale,idle_window_scale,deadline_scale,decoder_workers,decoder_service_rate,decoder_queue_depth,decoder_deadline,decoder_arrival_time,decoder_start_time,decoder_finish_time,decoder_latency,decoder_deadline_miss,decoder_queue_overflow,decoder_timeout,decoder_backlog,runtime_stall_rounds,idle_exposure,runtime_idle_flip,detector_count,detector_event_count,detector_events,observable_flip,decoder_prediction,qec_decoder_failure,logical_failure,failure_round,failure_region,failure_operation,failure_mode,failure_pattern,event_record_hash,record_hash
p4_default_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,0,42,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.160000,0.160000,0.208118,0.048118,False,False,False,0.000000,0.000000,0.188089,False,36,2,"[6,7]",False,False,False,False,,none,,none,no_failure,7dbe92195d0a2f3ac024cb2f888d972a4381c7ef52bcea32b731dcc295e8cb41,be3c5aa6c4bada82c30fa1fb5ff6f588cda5a9caeaccc1c7f3d9cef50fd30e7a
p4_default_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,1,43,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.180000,0.180000,0.231111,0.051111,False,False,False,0.000000,0.000000,0.190333,False,36,4,"[0,1,9,10]",False,False,False,False,,none,,none,no_failure,581a075992f1782494c70d93e73c59c7cc2c4bf1304c26b1a68079c0ff586c14,5906565a9bb58f294526be221c4a11649dd04223f0f357530546a34b4032d77d
p4_default_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,2,44,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.200000,0.200000,0.278799,0.078799,False,False,False,0.000000,0.000000,0.211099,False,36,8,"[14,15,16,20,21,22,34,35]",False,False,False,False,,none,,none,no_failure,a4c00411bbdc11e66f4fb44ec43bec9499f4f2beb6097beb3e83f38afbe6b6c7,0f8760acaf78eb6bbbc289df6f77c87feb08be4f90b55505de1d9f8a02f9ec4d
p4_default_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,3,45,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.220000,0.220000,0.248612,0.028612,False,False,False,0.000000,0.000000,0.173459,False,36,0,[],False,False,False,False,,none,,none,no_failure,654455b844a96279169975db16eefbfbeb1cb402696f6189032a7d62c0c81092,a90bae7793cf33176211728ec66310a37265cdf47d6c732ce99f27830805aa99
p4_default_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,4,46,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.240000,0.240000,0.275562,0.035562,False,False,False,0.000000,0.000000,0.178672,False,36,3,"[10,11,19]",True,True,False,False,,none,,none,no_failure,d7a9f649f2fc932ef2d4fb7cdaca32b68431b9afd2dd3b6e9830596b022f5e4d,c7d872720da30d22950999d82ea5c5600c6131baf3d46036ab12a334a90c28c9
p4_default_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,5,47,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.260000,0.260000,0.308489,0.048489,False,False,False,0.000000,0.000000,0.188367,False,36,4,"[9,13,20,21]",False,False,False,False,,none,,none,no_failure,b62843010daf483b9315fdf8cde5ed11719e31249ef443fdcb8f6a9694569945,4623e0c42ce5f9a087141f747fe4a45f93e064ce507c3a59c374ff8978e2a26c
p4_default_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,6,48,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.280000,0.280000,0.317472,0.037472,False,False,False,0.000000,0.000000,0.180104,False,36,3,"[6,7,19]",True,True,False,False,,none,,none,no_failure,bfafa47e922e4bfe18003aff07352fad121f685cb60e6b833f2476030b4187c6,af6c2a6025e208f781c91034c0549051670a2499a00f9fa68d2062a3786c29ec
p4_default_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,7,49,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.300000,0.300000,0.353412,0.053412,False,False,False,0.000000,0.000000,0.192059,False,36,5,"[0,1,25,26,31]",True,True,False,False,,none,,none,no_failure,c7502f511d88448228260e72983906dd9da20ff6f33e5b7d0fb699af88d798f4,5ebf22aad6645dea58cf0ba0d1fd716b35df5e8036f5f0a827b764733da7c461
p4_default_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,8,50,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.320000,0.320000,0.382780,0.062780,False,False,False,0.000000,0.000000,0.199085,False,36,4,"[1,5,31,35]",False,False,False,False,,none,,none,no_failure,327186b924d900aeaa86911587f6c5439044ca3966dc08d66ed89fe554e50194,e96b6a0d11b26478fdcc2ba27f6079fb156fd996d6fdff3034263cb40e536afb
p4_default_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,9,51,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.000000,0.000000,0.052252,0.052252,False,False,False,0.000000,0.000000,0.191189,False,36,4,"[1,2,11,27]",False,False,False,False,,none,,none,no_failure,0e58aadc7c1bda17743ed61ee3bcb5191e6217c181bbf96fb1457171da929b63,d158399ed2f08805790cee8edda25612c64916613d72d59e9e1176c82636e5d6
