run_id,workload_id,circuit_id,backend,code_family,distance,num_rounds,shot_id,seed,stress_level,data_error_rate,measurement_error_rate,idle_error_rate,decoder_timeout_base_rate,detector_load_scale,idle_window_scale,deadline_scale,decoder_workers,decoder_service_rate,decoder_queue_depth,decoder_deadline,decoder_arrival_time,decoder_start_time,decoder_finish_time,decoder_latency,decoder_deadline_miss,decoder_queue_overflow,decoder_timeout,decoder_backlog,runtime_stall_rounds,idle_exposure,runtime_idle_flip,detector_count,detector_event_count,detector_events,observable_flip,decoder_prediction,qec_decoder_failure,logical_failure,failure_round,failure_region,failure_operation,failure_mode,failure_pattern,event_record_hash,record_hash
p5a_trace_mode_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,0,42,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.160000,0.160000,0.208118,0.048118,False,False,False,0.000000,0.000000,0.188089,False,36,2,"[6,7]",False,False,False,False,,none,,none,no_failure,7dbe92195d0a2f3ac024cb2f888d972a4381c7ef52bcea32b731dcc295e8cb41,a711b04f8dd5df73a753dd94d34a904c483622a3028cae96f13acd1f80061bec
p5a_trace_mode_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,1,43,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.180000,0.180000,0.231111,0.051111,False,False,False,0.000000,0.000000,0.190333,False,36,4,"[0,1,9,10]",False,False,False,False,,none,,none,no_failure,581a075992f1782494c70d93e73c59c7cc2c4bf1304c26b1a68079c0ff586c14,1229ce43ff69a18c924665359b85f7855dde354a2960b662cf006eee89951611
p5a_trace_mode_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,2,44,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.200000,0.200000,0.278799,0.078799,False,False,False,0.000000,0.000000,0.211099,False,36,8,"[14,15,16,20,21,22,34,35]",False,False,False,False,,none,,none,no_failure,a4c00411bbdc11e66f4fb44ec43bec9499f4f2beb6097beb3e83f38afbe6b6c7,dea29b5e52fb877e9b24ab3380f4ecc9a152abe78bc4fc1a14155a41c3eb8306
p5a_trace_mode_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,3,45,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.220000,0.220000,0.248612,0.028612,False,False,False,0.000000,0.000000,0.173459,False,36,0,[],False,False,False,False,,none,,none,no_failure,654455b844a96279169975db16eefbfbeb1cb402696f6189032a7d62c0c81092,4ae341347d06941ee0cfb45f953f16347ad1fafe4bae070233fad0863a2ebe1d
p5a_trace_mode_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,4,46,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.240000,0.240000,0.275562,0.035562,False,False,False,0.000000,0.000000,0.178672,False,36,3,"[10,11,19]",True,True,False,False,,none,,none,no_failure,d7a9f649f2fc932ef2d4fb7cdaca32b68431b9afd2dd3b6e9830596b022f5e4d,6ad025ce309db9dee15ea8ccc80cd040488f994c996c0e5f98bb9f0536b87900
p5a_trace_mode_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,5,47,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.260000,0.260000,0.308489,0.048489,False,False,False,0.000000,0.000000,0.188367,False,36,4,"[9,13,20,21]",False,False,False,False,,none,,none,no_failure,b62843010daf483b9315fdf8cde5ed11719e31249ef443fdcb8f6a9694569945,89d312e168d08c5bce736e571a73e3abac6f9e14f6b9134002ae17af13350aea
p5a_trace_mode_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,6,48,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.280000,0.280000,0.317472,0.037472,False,False,False,0.000000,0.000000,0.180104,False,36,3,"[6,7,19]",True,True,False,False,,none,,none,no_failure,bfafa47e922e4bfe18003aff07352fad121f685cb60e6b833f2476030b4187c6,2e608257e8e4b8b2de2d2393c300fa490fc4c4387889fbe2e348261832bd05c0
p5a_trace_mode_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,7,49,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.300000,0.300000,0.353412,0.053412,False,False,False,0.000000,0.000000,0.192059,False,36,5,"[0,1,25,26,31]",True,True,False,False,,none,,none,no_failure,c7502f511d88448228260e72983906dd9da20ff6f33e5b7d0fb699af88d798f4,a035560cf75dd014176bbdfa1e5b0e466e53aa3cdbf85b68d7eb27547e6af436
p5a_trace_mode_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,8,50,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.320000,0.320000,0.382780,0.062780,False,False,False,0.000000,0.000000,0.199085,False,36,4,"[1,5,31,35]",False,False,False,False,,none,,none,no_failure,327186b924d900aeaa86911587f6c5439044ca3966dc08d66ed89fe554e50194,ae613be7d069375c024f3cb544757660a64478607703f862a0580a70217bd2c9
p5a_trace_mode_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,9,51,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.000000,0.000000,0.052252,0.052252,False,False,False,0.000000,0.000000,0.191189,False,36,4,"[1,2,11,27]",False,False,False,False,,none,,none,no_failure,0e58aadc7c1bda17743ed61ee3bcb5191e6217c181bbf96fb1457171da929b63,fd0a6111fe2925fbbc3923c8c540d65bdf126130097880942a518e2d0147dc25
p5a_trace_mode_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,10,52,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.020000,0.020000,0.087095,0.067095,False,False,False,0.000000,0.000000,0.202322,False,36,6,"[1,4,14,18,24,26]",False,False,False,False,,none,,none,no_failure,ff374f480d8c5ade72fc26fb6ee47bb3995f5b39277a9baadf9b87a051384121,3d4d753c01662a13bf59fdccd9c2ee6fdfd0a8ad1ba90068f83ed3da00b32ff9
p5a_trace_mode_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,11,53,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.040000,0.040000,0.090840,0.050840,False,False,False,0.000000,0.000000,0.190130,False,36,2,"[10,11]",False,False,False,False,,none,,none,no_failure,465834b9d85069917c6bb7289c0f8a5fc83e8a3ee9f54aad3a65d1e2bdf6c5ab,0f4f08765897a3f852540641adc3aa685e51945aee3c6d123351c8199af8a538
p5a_trace_mode_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,12,54,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.060000,0.060000,0.099239,0.039239,False,False,False,0.000000,0.000000,0.181430,False,36,2,"[20,21]",False,False,False,False,,none,,none,no_failure,a033b327e2207aea80ad8bc0e63f59c67414b43eeb2721737a4253a5d2efb1a2,0b453f947aa3b918f4721bbf4f45f1abac7bf7a19bc4c64af36d3d68de60ebac
