trace_id,trace_source,run_id,workload_id,stress_level,shot_id,seed,decoder_arrival_time,decoder_start_time,decoder_finish_time,decoder_latency,decoder_queue_wait,decoder_service_time,decoder_backlog,decoder_timeout,decoder_deadline_miss,decoder_queue_overflow,runtime_stall_rounds,idle_exposure,runtime_idle_flip
p5a_trace_mode_memory_x_low_0|42|0,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,0,42,0.160000,0.160000,0.208118,0.048118,0.000000,0.048118,0.000000,False,False,False,0.000000,0.188089,False
p5a_trace_mode_memory_x_low_0|43|1,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,1,43,0.180000,0.180000,0.231111,0.051111,0.000000,0.051111,0.000000,False,False,False,0.000000,0.190333,False
p5a_trace_mode_memory_x_low_0|44|2,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,2,44,0.200000,0.200000,0.278799,0.078799,0.000000,0.078799,0.000000,False,False,False,0.000000,0.211099,False
p5a_trace_mode_memory_x_low_0|45|3,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,3,45,0.220000,0.220000,0.248612,0.028612,0.000000,0.028612,0.000000,False,False,False,0.000000,0.173459,False
p5a_trace_mode_memory_x_low_0|46|4,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,4,46,0.240000,0.240000,0.275562,0.035562,0.000000,0.035562,0.000000,False,False,False,0.000000,0.178672,False
p5a_trace_mode_memory_x_low_0|47|5,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,5,47,0.260000,0.260000,0.308489,0.048489,0.000000,0.048489,0.000000,False,False,False,0.000000,0.188367,False
p5a_trace_mode_memory_x_low_0|48|6,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,6,48,0.280000,0.280000,0.317472,0.037472,0.000000,0.037472,0.000000,False,False,False,0.000000,0.180104,False
p5a_trace_mode_memory_x_low_0|49|7,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,7,49,0.300000,0.300000,0.353412,0.053412,0.000000,0.053412,0.000000,False,False,False,0.000000,0.192059,False
p5a_trace_mode_memory_x_low_0|50|8,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,8,50,0.320000,0.320000,0.382780,0.062780,0.000000,0.062780,0.000000,False,False,False,0.000000,0.199085,False
p5a_trace_mode_memory_x_low_0|51|9,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,9,51,0.000000,0.000000,0.052252,0.052252,0.000000,0.052252,0.000000,False,False,False,0.000000,0.191189,False
p5a_trace_mode_memory_x_low_0|52|10,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,10,52,0.020000,0.020000,0.087095,0.067095,0.000000,0.067095,0.000000,False,False,False,0.000000,0.202322,False
p5a_trace_mode_memory_x_low_0|53|11,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,11,53,0.040000,0.040000,0.090840,0.050840,0.000000,0.050840,0.000000,False,False,False,0.000000,0.190130,False
p5a_trace_mode_memory_x_low_0|54|12,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,12,54,0.060000,0.060000,0.099239,0.039239,0.000000,0.039239,0.000000,False,False,False,0.000000,0.181430,False
p5a_trace_mode_memory_x_low_0|55|13,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,13,55,0.080000,0.080000,0.097941,0.017941,0.000000,0.017941,0.000000,False,False,False,0.000000,0.165456,False
p5a_trace_mode_memory_x_low_0|56|14,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,14,56,0.100000,0.100000,0.139723,0.039723,0.000000,0.039723,0.000000,False,False,False,0.000000,0.181792,False
