run_id,workload_id,circuit_id,backend,code_family,distance,num_rounds,shot_id,seed,stress_level,data_error_rate,measurement_error_rate,idle_error_rate,decoder_timeout_base_rate,detector_load_scale,idle_window_scale,deadline_scale,decoder_workers,decoder_service_rate,decoder_queue_depth,decoder_deadline,decoder_arrival_time,decoder_start_time,decoder_finish_time,decoder_latency,decoder_deadline_miss,decoder_queue_overflow,decoder_timeout,decoder_backlog,runtime_stall_rounds,idle_exposure,runtime_idle_flip,detector_count,detector_event_count,detector_events,observable_flip,decoder_prediction,qec_decoder_failure,logical_failure,failure_round,failure_region,failure_operation,failure_mode,failure_pattern,event_layers,event_layer_hash,event_record_hash,record_hash
p5b_layered_events_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,0,42,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.160000,0.160000,0.208118,0.048118,False,False,False,0.000000,0.000000,0.188089,False,36,2,"[6,7]",False,False,False,False,,none,,none,no_failure,"{""data_events"":[{""detector_id"":6,""event_id"":""data_events:0:6"",""region_id"":""detector_2"",""round_id"":1,""weight"":""1.000000""}],""idle_events"":[],""measurement_events"":[{""detector_id"":7,""event_id"":""measurement_events:1:7"",""region_id"":""detector_3"",""round_id"":1,""weight"":""1.000000""}],""runtime_events"":[]}",175c6532a829fbea7f5d8bdb7fe8347a8fa1525adfaaf75f72714fa4fa7dfbe8,3b240c6e5102069c1f614545569f382149d09e3fd1ee63c0ea57398378df0c4f,769afc6712845b340570467c212a918b9bbe93fc8bed5daf1f02d244ecad2ee8
p5b_layered_events_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,1,43,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.180000,0.180000,0.231111,0.051111,False,False,False,0.000000,0.000000,0.190333,False,36,4,"[0,1,9,10]",False,False,False,False,,none,,none,no_failure,"{""data_events"":[{""detector_id"":0,""event_id"":""data_events:0:0"",""region_id"":""detector_0"",""round_id"":0,""weight"":""1.000000""},{""detector_id"":9,""event_id"":""data_events:2:9"",""region_id"":""detector_1"",""round_id"":2,""weight"":""1.000000""}],""idle_events"":[],""measurement_events"":[{""detector_id"":1,""event_id"":""measurement_events:1:1"",""region_id"":""detector_1"",""round_id"":0,""weight"":""1.000000""},{""detector_id"":10,""event_id"":""measurement_events:3:10"",""region_id"":""detector_2"",""round_id"":2,""weight"":""1.000000""}],""runtime_events"":[]}",4525be4f29860d7057878773ea794296e463869a001903a300e46506a49b74c6,f2f674b1ec44bfbb5a41f8369ea2a70fb18a5f7ec7a2c28f8aa320bfd7992795,88cb48a15d2bf9ab5dd117db95d651195fc1020d35957672c69ff9413ff7ad80
p5b_layered_events_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,2,44,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.200000,0.200000,0.278799,0.078799,False,False,False,0.000000,0.000000,0.211099,False,36,8,"[14,15,16,20,21,22,34,35]",False,False,False,False,,none,,none,no_failure,"{""data_events"":[{""detector_id"":15,""event_id"":""data_events:1:15"",""region_id"":""detector_3"",""round_id"":3,""weight"":""1.000000""},{""detector_id"":21,""event_id"":""data_events:4:21"",""region_id"":""detector_1"",""round_id"":5,""weight"":""1.000000""}],""idle_events"":[{""detector_id"":14,""event_id"":""idle_events:0:14"",""region_id"":""detector_2"",""round_id"":3,""weight"":""1.000000""},{""detector_id"":20,""event_id"":""idle_events:3:20"",""region_id"":""detector_0"",""round_id"":5,""weight"":""1.000000""},{""detector_id"":35,""event_id"":""idle_events:7:35"",""region_id"":""detector_3"",""round_id"":8,""weight"":""1.000000""}],""measurement_events"":[{""detector_id"":16,""event_id"":""measurement_events:2:16"",""region_id"":""detector_0"",""round_id"":4,""weight"":""1.000000""},{""detector_id"":22,""event_id"":""measurement_events:5:22"",""region_id"":""detector_2"",""round_id"":5,""weight"":""1.000000""},{""detector_id"":34,""event_id"":""measurement_events:6:34"",""region_id"":""detector_2"",""round_id"":8,""weight"":""1.000000""}],""runtime_events"":[]}",34534389d5fd4ba4b6b72c8c32bb4368b5eb10e68af32b6ffbc89f710a0f1138,bfce84e984071884ce1f85de85ece6209ff43be706b38ade3dfebc26b4a74de5,f1b5611efcdb12666fca2ea4da9faaa8687846bd80262ff18c5777d53dd5164a
p5b_layered_events_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,3,45,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.220000,0.220000,0.248612,0.028612,False,False,False,0.000000,0.000000,0.173459,False,36,0,[],False,False,False,False,,none,,none,no_failure,"{""data_events"":[],""idle_events"":[],""measurement_events"":[],""runtime_events"":[]}",4cefb35c9ae997d48e080f61e9a7952973a6bc234c14408769df73f65f07233a,243839e093da82354a60aa4c96dd3bf9ca4a4003eb30729691cf586915aaaf09,a4e753279978b33b8bc28f83e5f629f07f762a69ceb4307914a6a66aecb6d7ab
p5b_layered_events_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,4,46,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.240000,0.240000,0.275562,0.035562,False,False,False,0.000000,0.000000,0.178672,False,36,3,"[10,11,19]",True,True,False,False,,none,,none,no_failure,"{""data_events"":[],""idle_events"":[{""detector_id"":11,""event_id"":""idle_events:1:11"",""region_id"":""detector_3"",""round_id"":2,""weight"":""1.000000""}],""measurement_events"":[{""detector_id"":10,""event_id"":""measurement_events:0:10"",""region_id"":""detector_2"",""round_id"":2,""weight"":""1.000000""},{""detector_id"":19,""event_id"":""measurement_events:2:19"",""region_id"":""detector_3"",""round_id"":4,""weight"":""1.000000""}],""runtime_events"":[]}",d5fb46a7a76e29c13b3fceaa3e4b0da3b58d07ae7a33f86a97a031f42d6cfa2b,4b9cb4b14141f33e4f960a31845da07c694fb44ad9d17c97ab094dbac1d24ee0,16f6a17e1ce190fad00fb6360413fe0c5c5fb5d5840eaa7d295f460eef04d24c
p5b_layered_events_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,5,47,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.260000,0.260000,0.308489,0.048489,False,False,False,0.000000,0.000000,0.188367,False,36,4,"[9,13,20,21]",False,False,False,False,,none,,none,no_failure,"{""data_events"":[{""detector_id"":9,""event_id"":""data_events:0:9"",""region_id"":""detector_1"",""round_id"":2,""weight"":""1.000000""},{""detector_id"":21,""event_id"":""data_events:3:21"",""region_id"":""detector_1"",""round_id"":5,""weight"":""1.000000""}],""idle_events"":[{""detector_id"":20,""event_id"":""idle_events:2:20"",""region_id"":""detector_0"",""round_id"":5,""weight"":""1.000000""}],""measurement_events"":[{""detector_id"":13,""event_id"":""measurement_events:1:13"",""region_id"":""detector_1"",""round_id"":3,""weight"":""1.000000""}],""runtime_events"":[]}",5b935cdc7be18106656ae2d9c06c49640b95d1f01822b6c88f09bd5c9d38c356,e345202557e3edb95445bd744591e58493b42d63b23fd03c05c4d483534c68b7,4be996cfd1c23a437f8783443dcd3ee852917d6a7411fffd91768ef69eebc0da
p5b_layered_events_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,6,48,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.280000,0.280000,0.317472,0.037472,False,False,False,0.000000,0.000000,0.180104,False,36,3,"[6,7,19]",True,True,False,False,,none,,none,no_failure,"{""data_events"":[{""detector_id"":6,""event_id"":""data_events:0:6"",""region_id"":""detector_2"",""round_id"":1,""weight"":""1.000000""}],""idle_events"":[],""measurement_events"":[{""detector_id"":7,""event_id"":""measurement_events:1:7"",""region_id"":""detector_3"",""round_id"":1,""weight"":""1.000000""},{""detector_id"":19,""event_id"":""measurement_events:2:19"",""region_id"":""detector_3"",""round_id"":4,""weight"":""1.000000""}],""runtime_events"":[]}",2ee76076d1204e8167be6187b4f1510f350d79a3f5a54c9ae08de423f2830852,3a5f56501068469cc2ab10699da3bb9b1f9abfe8df5e06c16753e17bb3735048,6729a5cb2770711c06b455e2b206fc1f7b3a45b2c92ea5e92f9f3017808d0d63
p5b_layered_events_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,7,49,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.300000,0.300000,0.353412,0.053412,False,False,False,0.000000,0.000000,0.192059,False,36,5,"[0,1,25,26,31]",True,True,False,False,,none,,none,no_failure,"{""data_events"":[{""detector_id"":0,""event_id"":""data_events:0:0"",""region_id"":""detector_0"",""round_id"":0,""weight"":""1.000000""}],""idle_events"":[{""detector_id"":26,""event_id"":""idle_events:3:26"",""region_id"":""detector_2"",""round_id"":6,""weight"":""1.000000""}],""measurement_events"":[{""detector_id"":1,""event_id"":""measurement_events:1:1"",""region_id"":""detector_1"",""round_id"":0,""weight"":""1.000000""},{""detector_id"":25,""event_id"":""measurement_events:2:25"",""region_id"":""detector_1"",""round_id"":6,""weight"":""1.000000""},{""detector_id"":31,""event_id"":""measurement_events:4:31"",""region_id"":""detector_3"",""round_id"":7,""weight"":""1.000000""}],""runtime_events"":[]}",358f7d1fd12fc803fca0bdf9065273387d27df5d705e2193785f878400cf57c7,6791edeb9f9efd9d61618dd90ea32cf1642969e7bd2db1b07b96207346616683,7e3350558d693bd8bcf9c33e2f0633c8d9f93c85a907b6d9a89c39b04ed04127
p5b_layered_events_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,8,50,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.320000,0.320000,0.382780,0.062780,False,False,False,0.000000,0.000000,0.199085,False,36,4,"[1,5,31,35]",False,False,False,False,,none,,none,no_failure,"{""data_events"":[],""idle_events"":[{""detector_id"":5,""event_id"":""idle_events:1:5"",""region_id"":""detector_1"",""round_id"":1,""weight"":""1.000000""},{""detector_id"":35,""event_id"":""idle_events:3:35"",""region_id"":""detector_3"",""round_id"":8,""weight"":""1.000000""}],""measurement_events"":[{""detector_id"":1,""event_id"":""measurement_events:0:1"",""region_id"":""detector_1"",""round_id"":0,""weight"":""1.000000""},{""detector_id"":31,""event_id"":""measurement_events:2:31"",""region_id"":""detector_3"",""round_id"":7,""weight"":""1.000000""}],""runtime_events"":[]}",20d1f1a75036f3131feebb67336bde4ecfff5cff04a509c0a12d6ad76750e9c0,6dcdad73861bb5639db4eb9351cd47a2ec31c78100ccea176eac56464ad1da13,802b63bc2b362df9dc816bb751793e5b1728c16a2b3d9b3854710e30e2fa37cc
p5b_layered_events_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,9,51,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.000000,0.000000,0.052252,0.052252,False,False,False,0.000000,0.000000,0.191189,False,36,4,"[1,2,11,27]",False,False,False,False,,none,,none,no_failure,"{""data_events"":[{""detector_id"":27,""event_id"":""data_events:3:27"",""region_id"":""detector_3"",""round_id"":6,""weight"":""1.000000""}],""idle_events"":[{""detector_id"":2,""event_id"":""idle_events:1:2"",""region_id"":""detector_2"",""round_id"":0,""weight"":""1.000000""},{""detector_id"":11,""event_id"":""idle_events:2:11"",""region_id"":""detector_3"",""round_id"":2,""weight"":""1.000000""}],""measurement_events"":[{""detector_id"":1,""event_id"":""measurement_events:0:1"",""region_id"":""detector_1"",""round_id"":0,""weight"":""1.000000""}],""runtime_events"":[]}",d6f628a7c6ef75a282c2f23fd933c36d012c5579cb0a26ac8f96007400396d6a,7fe4e47f56b874c2e874788b051334b9610d4bbcdd300e62a1ddc5ff60ba9951,a461e52e7317a4ab0fb86aa40b9025d3779e0abe523c9cc3c50b3035faf4f578
