run_id,workload_id,circuit_id,backend,code_family,distance,num_rounds,shot_id,seed,stress_level,data_error_rate,measurement_error_rate,idle_error_rate,decoder_timeout_base_rate,detector_load_scale,idle_window_scale,deadline_scale,decoder_workers,decoder_service_rate,decoder_queue_depth,decoder_deadline,decoder_arrival_time,decoder_start_time,decoder_finish_time,decoder_latency,decoder_deadline_miss,decoder_queue_overflow,decoder_timeout,decoder_backlog,runtime_stall_rounds,idle_exposure,runtime_idle_flip,detector_count,detector_event_count,detector_events,observable_flip,decoder_prediction,qec_decoder_failure,logical_failure,failure_round,failure_region,failure_operation,failure_mode,failure_pattern,event_layers,event_layer_hash,event_record_hash,record_hash
p6_cross_mode_repetition_proxy_detector_memory_x_high_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,0,42,high,0.03,0.02,0.002,0.04,1.0,1.0,1.0,1,2.4,4,0.42,0.160000,0.160000,0.341754,0.181754,False,False,False,0.000000,0.000000,0.288316,False,36,2,"[6,7]",False,False,False,False,,none,,none,no_failure,,,ad56d3b825a4afae88f64b8a72b0b1990451c6d904cd3a191a9af1a2bf64a0a3,a91687a14fb237936a719662dc7dfdabf4f5e79e0e3101913d41e12384ef3e34
p6_cross_mode_repetition_proxy_detector_memory_x_high_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,1,43,high,0.03,0.02,0.002,0.04,1.0,1.0,1.0,1,2.4,4,0.42,0.180000,0.846667,1.165050,0.985050,True,False,False,1.600000,1.700625,1.152825,False,36,4,"[0,1,9,10]",False,False,False,False,,none,,none,no_failure,,,6c88ac0611b78ec5f4808b8410f903bdd7f8b86bec6e1a158c617d4f2a3d89ff,3b22d5783d4497feec81e487a0e05b2fb6c3e3e14f2c0dad63c5defce9486b5d
p6_cross_mode_repetition_proxy_detector_memory_x_high_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,2,44,high,0.03,0.02,0.002,0.04,1.0,1.0,1.0,1,2.4,4,0.42,0.200000,1.866667,2.480011,2.280011,True,True,True,4.000000,5.370027,2.584210,True,36,8,"[14,15,16,20,21,22,34,35]",False,False,False,True,3,detector_2,3,deadline_timeout,deadline_timeout,,,4093a8705133f5114c1a263c526ba96d02da18cb4cf9889d168dde0b7bad5608,1ab8ea8a98f52e16baf84f9b72a6e62bfb0e63a85845ab8ee10d47286611b174
p6_cross_mode_repetition_proxy_detector_memory_x_high_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,3,45,high,0.03,0.02,0.002,0.04,1.0,1.0,1.0,1,2.4,4,0.42,0.220000,0.220000,0.248612,0.028612,False,False,False,0.000000,0.000000,0.173459,False,36,0,[],False,False,False,False,,none,,none,no_failure,,,af2e640d55273224c1819ec29210193c5177581a046cc7d10c047e6d0612abdb,eafe3659ef8477217da2b7bf59fa8994aae04bf738efa2846f9849a660b0fb9b
p6_cross_mode_repetition_proxy_detector_memory_x_high_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,4,46,high,0.03,0.02,0.002,0.04,1.0,1.0,1.0,1,2.4,4,0.42,0.240000,0.490000,0.726017,0.486017,True,False,False,0.600000,0.273042,0.592895,False,36,3,"[10,11,19]",True,True,False,False,,none,,none,no_failure,,,6f0ef4b962ece4dd97144d2e1cdd95934b011fed7104b8cff87f7a1e8c7e1b59,23f2654c8e3f1c74a3435d3785170b5deab953b0cf98adf5a78b94de0bdc40a1
p6_cross_mode_repetition_proxy_detector_memory_x_high_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,5,47,high,0.03,0.02,0.002,0.04,1.0,1.0,1.0,1,2.4,4,0.42,0.260000,0.926667,1.242429,0.982429,True,False,True,1.600000,1.694072,1.150466,False,36,4,"[9,13,20,21]",False,False,False,False,,none,,none,no_failure,,,92f454ecbb3c634f94b384687cff871d7101a3a6ccf5a5a399f2ddac16e96511,d0e03d716e0d81405087621b342571ab214bd7e8f3b48eb5474f5175d91d4ec0
p6_cross_mode_repetition_proxy_detector_memory_x_high_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,6,48,high,0.03,0.02,0.002,0.04,1.0,1.0,1.0,1,2.4,4,0.42,0.280000,0.530000,0.767927,0.487927,True,False,False,0.600000,0.277817,0.594614,False,36,3,"[6,7,19]",True,True,False,False,,none,,none,no_failure,,,ab6846e8efa170ae14ed82a96fd76e580a046ffec1a9932c5a21d5cb337bce7c,b5fdfc6d82d879f52befd4e283992f6379cd7270c3a247584a4ca2134b18bedc
p6_cross_mode_repetition_proxy_detector_memory_x_high_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,7,49,high,0.03,0.02,0.002,0.04,1.0,1.0,1.0,1,2.4,4,0.42,0.300000,1.383333,1.770837,1.470837,True,False,False,2.600000,3.095091,1.700833,True,36,5,"[0,1,25,26,31]",True,True,False,True,0,detector_0,0,deadline_miss,deadline_miss,,,3961201a702acd3f0ef4f67acd0d94741df302da6a6bd37e183ac2fac75b37fa,471e2957c24dcf5a8f3ccc2efe594259ba5b72a9f30f39a89c8b492d4d000294
p6_cross_mode_repetition_proxy_detector_memory_x_high_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,8,50,high,0.03,0.02,0.002,0.04,1.0,1.0,1.0,1,2.4,4,0.42,0.320000,0.986667,1.316720,0.996720,True,False,True,1.600000,1.729799,1.163328,False,36,4,"[1,5,31,35]",False,False,False,False,,none,,none,no_failure,,,049babea7caf2d146c6c086a65c62c3ecf6fadfa7e408bc1f08a48b153733f81,b9e1aa399b2ec8d216e2493b49fec6b571a9f892515739230933faa7db3512a7
p6_cross_mode_repetition_proxy_detector_memory_x_high_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,9,51,high,0.03,0.02,0.002,0.04,1.0,1.0,1.0,1,2.4,4,0.42,0.000000,0.666667,0.986192,0.986192,True,False,False,1.600000,1.703479,1.153853,False,36,4,"[1,2,11,27]",False,False,False,False,,none,,none,no_failure,,,d9c2689352763468d6ede2acc48206972ca1a1fc372c75084100861d98cc02c6,cf5513389d0b3f270ca8acff15093d5d0a8f412fc9491732d5ff91bcecda219a
