workload_id,stress_level,intervention,intervention_class,num_pairs,valid_pairs,invalid_pairs,baseline_failure_count,intervened_failure_count,rescued_failure_count,induced_failure_count,unchanged_failure_count,unchanged_success_count,net_rescue_count,paired_delta_lfr,paired_delta_lfr_ci_lower,paired_delta_lfr_ci_upper,net_rescue_rate,net_rescue_rate_ci_lower,net_rescue_rate_ci_upper,rescue_rate_among_baseline_failures,induction_rate_among_baseline_successes,num_bootstrap,bootstrap_seed
idle_heavy_memory,high,remove_decoder_queueing,runtime,200,200,0,58,18,43,3,15,139,40,-0.200000,-0.260000,-0.140000,0.200000,0.135000,0.265000,0.741379,0.021127,300,2026
idle_heavy_memory,high,increase_decoder_service_rate_2x,runtime,200,200,0,58,19,40,1,18,141,39,-0.195000,-0.250000,-0.140000,0.195000,0.145000,0.255000,0.689655,0.007042,300,2026
idle_heavy_memory,high,increase_decoder_workers_2x,runtime,200,200,0,58,19,40,1,18,141,39,-0.195000,-0.250000,-0.135000,0.195000,0.135000,0.245000,0.689655,0.007042,300,2026
idle_heavy_memory,high,reduce_idle_exposure_50pct,runtime,200,200,0,58,32,29,3,29,139,26,-0.130000,-0.185000,-0.080000,0.130000,0.075000,0.180000,0.500000,0.021127,300,2026
idle_heavy_memory,high,remove_measurement_noise,noise,200,200,0,58,44,14,0,44,142,14,-0.070000,-0.105000,-0.040000,0.070000,0.030000,0.105000,0.241379,0.000000,300,2026
idle_heavy_memory,high,remove_data_noise,noise,200,200,0,58,45,14,1,44,141,13,-0.065000,-0.105000,-0.030000,0.065000,0.030000,0.105000,0.241379,0.007042,300,2026
idle_heavy_memory,high,remove_idle_noise,noise,200,200,0,58,51,7,0,51,142,7,-0.035000,-0.065000,-0.015000,0.035000,0.015000,0.060000,0.120690,0.000000,300,2026
idle_heavy_memory,high,weaken_measurement_noise_50pct,noise,200,200,0,58,51,7,0,51,142,7,-0.035000,-0.060000,-0.015000,0.035000,0.010000,0.065000,0.120690,0.000000,300,2026
idle_heavy_memory,high,weaken_data_noise_50pct,noise,200,200,0,58,52,6,0,52,142,6,-0.030000,-0.050000,-0.010000,0.030000,0.010000,0.055000,0.103448,0.000000,300,2026
idle_heavy_memory,high,weaken_idle_noise_50pct,noise,200,200,0,58,54,4,0,54,142,4,-0.020000,-0.040000,-0.005000,0.020000,0.005000,0.040000,0.068966,0.000000,300,2026
idle_heavy_memory,high,prioritize_high_weight_syndromes,policy,200,200,0,58,56,3,1,55,141,2,-0.010000,-0.030000,0.005000,0.010000,-0.010000,0.035000,0.051724,0.007042,300,2026
idle_heavy_memory,high,relax_decoder_deadline_2x,policy,200,200,0,58,57,1,0,57,142,1,-0.005000,-0.015000,0.000000,0.005000,0.000000,0.015000,0.017241,0.000000,300,2026
idle_heavy_memory,high,remove_decoder_timeout,policy,200,200,0,58,64,1,7,57,135,-6,0.030000,0.005000,0.060000,-0.030000,-0.060000,-0.010000,0.017241,0.049296,300,2026
memory_x,high,remove_decoder_queueing,runtime,200,200,0,38,1,38,1,0,161,37,-0.185000,-0.240000,-0.140000,0.185000,0.130000,0.235000,1.000000,0.006173,300,2026
memory_x,high,increase_decoder_service_rate_2x,runtime,200,200,0,38,5,34,1,4,161,33,-0.165000,-0.215000,-0.120000,0.165000,0.120000,0.210000,0.894737,0.006173,300,2026
memory_x,high,increase_decoder_workers_2x,runtime,200,200,0,38,5,34,1,4,161,33,-0.165000,-0.210000,-0.115000,0.165000,0.110000,0.220000,0.894737,0.006173,300,2026
memory_x,high,reduce_idle_exposure_50pct,runtime,200,200,0,38,12,26,0,12,162,26,-0.130000,-0.175000,-0.085000,0.130000,0.085000,0.175000,0.684211,0.000000,300,2026
memory_x,high,remove_measurement_noise,noise,200,200,0,38,22,16,0,22,162,16,-0.080000,-0.120000,-0.045000,0.080000,0.045000,0.120000,0.421053,0.000000,300,2026
memory_x,high,remove_data_noise,noise,200,200,0,38,24,15,1,23,161,14,-0.070000,-0.110000,-0.035000,0.070000,0.035000,0.110000,0.394737,0.006173,300,2026
memory_x,high,prioritize_high_weight_syndromes,policy,200,200,0,38,28,11,1,27,161,10,-0.050000,-0.085000,-0.020000,0.050000,0.015000,0.080000,0.289474,0.006173,300,2026
memory_x,high,remove_idle_noise,noise,200,200,0,38,28,10,0,28,162,10,-0.050000,-0.080000,-0.020000,0.050000,0.025000,0.080000,0.263158,0.000000,300,2026
memory_x,high,weaken_measurement_noise_50pct,noise,200,200,0,38,29,9,0,29,162,9,-0.045000,-0.070000,-0.020000,0.045000,0.020000,0.075000,0.236842,0.000000,300,2026
memory_x,high,relax_decoder_deadline_2x,policy,200,200,0,38,31,7,0,31,162,7,-0.035000,-0.060000,-0.010000,0.035000,0.015000,0.065000,0.184211,0.000000,300,2026
memory_x,high,weaken_data_noise_50pct,noise,200,200,0,38,33,5,0,33,162,5,-0.025000,-0.045000,-0.005000,0.025000,0.005000,0.050000,0.131579,0.000000,300,2026
memory_x,high,weaken_idle_noise_50pct,noise,200,200,0,38,33,5,0,33,162,5,-0.025000,-0.050000,-0.005000,0.025000,0.005000,0.050000,0.131579,0.000000,300,2026
memory_x,high,remove_decoder_timeout,policy,200,200,0,38,35,4,1,34,161,3,-0.015000,-0.040000,0.005000,0.015000,-0.005000,0.035000,0.105263,0.006173,300,2026
