trace_id,trace_source,run_id,workload_id,stress_level,shot_id,seed,decoder_arrival_time,decoder_start_time,decoder_finish_time,decoder_latency,decoder_queue_wait,decoder_service_time,decoder_backlog,decoder_timeout,decoder_deadline_miss,decoder_queue_overflow,runtime_stall_rounds,idle_exposure,runtime_idle_flip
p6_cross_mode_repetition_trace_layered_memory_x_high_0|42|0,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,0,42,0.160000,0.160000,0.341754,0.181754,0.000000,0.181754,0.000000,False,False,False,0.000000,0.288316,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|43|1,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,1,43,0.180000,0.846667,1.165050,0.985050,0.666667,0.318383,1.600000,False,True,False,1.700625,1.152825,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|44|2,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,2,44,0.200000,1.866667,2.480011,2.280011,1.666667,0.613344,4.000000,True,True,True,5.370027,2.584210,True
p6_cross_mode_repetition_trace_layered_memory_x_high_0|45|3,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,3,45,0.220000,0.220000,0.248612,0.028612,0.000000,0.028612,0.000000,False,False,False,0.000000,0.173459,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|46|4,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,4,46,0.240000,0.490000,0.726017,0.486017,0.250000,0.236017,0.600000,False,True,False,0.273042,0.592895,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|47|5,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,5,47,0.260000,0.926667,1.242429,0.982429,0.666667,0.315762,1.600000,True,True,False,1.694072,1.150466,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|48|6,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,6,48,0.280000,0.530000,0.767927,0.487927,0.250000,0.237927,0.600000,False,True,False,0.277817,0.594614,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|49|7,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,7,49,0.300000,1.383333,1.770837,1.470837,1.083333,0.387504,2.600000,False,True,False,3.095091,1.700833,True
p6_cross_mode_repetition_trace_layered_memory_x_high_0|50|8,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,8,50,0.320000,0.986667,1.316720,0.996720,0.666667,0.330053,1.600000,True,True,False,1.729799,1.163328,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|51|9,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,9,51,0.000000,0.666667,0.986192,0.986192,0.666667,0.319525,1.600000,False,True,False,1.703479,1.153853,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|52|10,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,10,52,0.020000,1.520000,1.988004,1.968004,1.500000,0.468004,3.600000,False,True,False,4.518011,2.259084,True
p6_cross_mode_repetition_trace_layered_memory_x_high_0|53|11,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,11,53,0.040000,0.040000,0.224476,0.184476,0.000000,0.184476,0.000000,False,False,False,0.000000,0.290357,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|54|12,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,12,54,0.060000,0.060000,0.232876,0.172876,0.000000,0.172876,0.000000,False,False,False,0.000000,0.281657,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|55|13,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,13,55,0.080000,0.080000,0.097941,0.017941,0.000000,0.017941,0.000000,False,False,False,0.000000,0.165456,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|56|14,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,14,56,0.100000,0.350000,0.590178,0.490178,0.250000,0.240178,0.600000,True,True,False,0.283445,0.596640,True
p6_cross_mode_repetition_trace_layered_memory_x_high_0|57|15,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,15,57,0.120000,0.120000,0.143893,0.023893,0.000000,0.023893,0.000000,False,False,False,0.000000,0.169920,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|58|16,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,16,58,0.140000,1.223333,1.609325,1.469325,1.083333,0.385992,2.600000,False,True,False,3.091313,1.699473,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|59|17,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,17,59,0.160000,0.160000,0.344673,0.184673,0.000000,0.184673,0.000000,False,False,False,0.000000,0.290505,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|60|18,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,18,60,0.180000,0.430000,0.666869,0.486869,0.250000,0.236869,0.600000,True,True,False,0.275173,0.593662,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|61|19,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,19,61,0.200000,0.450000,0.690875,0.490875,0.250000,0.240875,0.600000,False,True,False,0.285188,0.597268,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|62|20,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,20,62,0.220000,0.886667,1.216108,0.996108,0.666667,0.329441,1.600000,True,True,False,1.728271,1.162778,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|63|21,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,21,63,0.240000,0.906667,1.239804,0.999804,0.666667,0.333137,1.600000,False,True,False,1.737511,1.166104,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|64|22,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,22,64,0.260000,0.260000,0.427239,0.167239,0.000000,0.167239,0.000000,False,False,False,0.000000,0.277429,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|65|23,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,23,65,0.280000,0.530000,0.766875,0.486875,0.250000,0.236875,0.600000,False,True,False,0.275187,0.593667,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|66|24,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,24,66,0.300000,0.966667,1.294268,0.994268,0.666667,0.327601,1.600000,False,True,False,1.723671,1.161121,True
p6_cross_mode_repetition_trace_layered_memory_x_high_0|67|25,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,25,67,0.320000,0.320000,0.416834,0.096834,0.000000,0.096834,0.000000,False,False,False,0.000000,0.224625,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|68|26,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,26,68,0.000000,0.000000,0.172861,0.172861,0.000000,0.172861,0.000000,False,False,False,0.000000,0.281646,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|69|27,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,27,69,0.020000,0.270000,0.515062,0.495062,0.250000,0.245062,0.600000,False,True,False,0.295655,0.601036,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|70|28,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,28,70,0.040000,0.290000,0.527569,0.487569,0.250000,0.237569,0.600000,True,True,False,0.276922,0.594292,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|71|29,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,29,71,0.060000,0.060000,0.153745,0.093745,0.000000,0.093745,0.000000,False,False,False,0.000000,0.222309,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|72|30,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,30,72,0.080000,1.163333,1.569309,1.489309,1.083333,0.405976,2.600000,False,True,False,3.141272,1.717458,True
