workload_id,stress_level,intervention,intervention_class,num_pairs,valid_pairs,invalid_pairs,baseline_failure_count,intervened_failure_count,rescued_failure_count,induced_failure_count,unchanged_failure_count,unchanged_success_count,net_rescue_count,paired_delta_lfr,paired_delta_lfr_ci_lower,paired_delta_lfr_ci_upper,net_rescue_rate,net_rescue_rate_ci_lower,net_rescue_rate_ci_upper,rescue_rate_among_baseline_failures,induction_rate_among_baseline_successes,num_bootstrap,bootstrap_seed
surface_rotated_memory_x,high,increase_decoder_service_rate_2x,runtime,200,200,0,11,3,9,1,2,188,8,-0.040000,-0.075000,-0.010000,0.040000,0.015000,0.070000,0.818182,0.005291,300,2026
surface_rotated_memory_x,high,increase_decoder_workers_2x,runtime,200,200,0,11,3,9,1,2,188,8,-0.040000,-0.070000,-0.010000,0.040000,0.010000,0.065000,0.818182,0.005291,300,2026
surface_rotated_memory_x,high,remove_decoder_queueing,runtime,200,200,0,11,4,9,2,2,187,7,-0.035000,-0.065000,0.000000,0.035000,0.005000,0.070000,0.818182,0.010582,300,2026
surface_rotated_memory_x,high,prioritize_high_weight_syndromes,policy,200,200,0,11,5,7,1,4,188,6,-0.030000,-0.060000,-0.005000,0.030000,0.000000,0.065000,0.636364,0.005291,300,2026
surface_rotated_memory_x,high,reduce_idle_exposure_50pct,runtime,200,200,0,11,7,6,2,5,187,4,-0.020000,-0.050000,0.005000,0.020000,-0.010000,0.050000,0.545455,0.010582,300,2026
surface_rotated_memory_x,high,weaken_data_noise_50pct,noise,200,200,0,11,7,4,0,7,189,4,-0.020000,-0.040000,-0.005000,0.020000,0.005000,0.040000,0.363636,0.000000,300,2026
surface_rotated_memory_x,high,remove_data_noise,noise,200,200,0,11,8,3,0,8,189,3,-0.015000,-0.035000,0.000000,0.015000,0.000000,0.030000,0.272727,0.000000,300,2026
surface_rotated_memory_x,high,remove_measurement_noise,noise,200,200,0,11,8,3,0,8,189,3,-0.015000,-0.035000,0.000000,0.015000,0.000000,0.035000,0.272727,0.000000,300,2026
surface_rotated_memory_x,high,weaken_measurement_noise_50pct,noise,200,200,0,11,8,3,0,8,189,3,-0.015000,-0.035000,0.000000,0.015000,0.000000,0.035000,0.272727,0.000000,300,2026
surface_rotated_memory_x,high,remove_idle_noise,noise,200,200,0,11,9,2,0,9,189,2,-0.010000,-0.025000,0.000000,0.010000,0.000000,0.025000,0.181818,0.000000,300,2026
surface_rotated_memory_x,high,relax_decoder_deadline_2x,policy,200,200,0,11,10,1,0,10,189,1,-0.005000,-0.015000,0.000000,0.005000,0.000000,0.015000,0.090909,0.000000,300,2026
surface_rotated_memory_x,high,weaken_idle_noise_50pct,noise,200,200,0,11,11,0,0,11,189,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,300,2026
surface_rotated_memory_x,high,remove_decoder_timeout,policy,200,200,0,11,14,1,4,10,185,-3,0.015000,-0.005000,0.035000,-0.015000,-0.040000,0.005000,0.090909,0.021164,300,2026
