experiment_name,code_family,control_mode,basis,cycles,workload_id,num_pairs,paired_delta_lfr,paired_bootstrap_std,unpaired_bootstrap_std,std_ratio_unpaired_over_paired,paired_ci_lower,paired_ci_upper,unpaired_ci_lower,unpaired_ci_upper,num_bootstrap,source_data_dir
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,10,surface_code_reinforcement_learning_X_r010,10000,-0.002800,0.001111,0.002119,1.907429,-0.005000,-0.000700,-0.007000,0.001200,300,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r010
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,20,surface_code_reinforcement_learning_X_r020,10000,-0.008500,0.001574,0.002902,1.842925,-0.011800,-0.005400,-0.014400,-0.003100,300,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r020
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,30,surface_code_reinforcement_learning_X_r030,10000,-0.009600,0.001865,0.003292,1.765418,-0.013100,-0.006200,-0.015800,-0.002900,300,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r030
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,40,surface_code_reinforcement_learning_X_r040,10000,-0.016400,0.002270,0.003778,1.663861,-0.020200,-0.011600,-0.023800,-0.008600,300,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r040
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,50,surface_code_reinforcement_learning_X_r050,10000,-0.016100,0.002430,0.004061,1.671265,-0.021000,-0.010400,-0.024000,-0.008700,300,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r050
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,60,surface_code_reinforcement_learning_X_r060,10000,-0.019400,0.002497,0.004387,1.756679,-0.025300,-0.014900,-0.028100,-0.011100,300,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r060
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,70,surface_code_reinforcement_learning_X_r070,10000,-0.021900,0.002467,0.004666,1.891731,-0.026800,-0.017400,-0.031100,-0.012900,300,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r070
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,80,surface_code_reinforcement_learning_X_r080,10000,-0.029800,0.003129,0.004768,1.524031,-0.036100,-0.024000,-0.038300,-0.019800,300,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r080
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,90,surface_code_reinforcement_learning_X_r090,10000,-0.032600,0.002828,0.005251,1.856545,-0.037600,-0.026800,-0.043300,-0.021000,300,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r090
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,100,surface_code_reinforcement_learning_X_r100,10000,-0.031300,0.003400,0.005500,1.617532,-0.037900,-0.024500,-0.042100,-0.021600,300,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r100
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,Z,10,surface_code_reinforcement_learning_Z_r010,10000,-0.001900,0.001008,0.002012,1.995784,-0.004200,-0.000100,-0.006100,0.001800,300,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/Z/r010
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,Z,20,surface_code_reinforcement_learning_Z_r020,10000,-0.008600,0.001475,0.002842,1.926504,-0.011200,-0.005500,-0.015100,-0.003500,300,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/Z/r020
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,Z,30,surface_code_reinforcement_learning_Z_r030,10000,-0.011400,0.001798,0.003531,1.963969,-0.014800,-0.007700,-0.018000,-0.003400,300,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/Z/r030
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,Z,40,surface_code_reinforcement_learning_Z_r040,10000,-0.013800,0.002225,0.003703,1.664489,-0.018300,-0.009300,-0.020800,-0.006600,300,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/Z/r040
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,Z,50,surface_code_reinforcement_learning_Z_r050,10000,-0.014600,0.002183,0.003982,1.824240,-0.018900,-0.010800,-0.023000,-0.007000,300,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/Z/r050
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,Z,60,surface_code_reinforcement_learning_Z_r060,10000,-0.016800,0.002582,0.004583,1.775194,-0.021500,-0.011400,-0.026500,-0.007300,300,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/Z/r060
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,Z,70,surface_code_reinforcement_learning_Z_r070,10000,-0.025000,0.002914,0.004749,1.629931,-0.030400,-0.019700,-0.034500,-0.015400,300,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/Z/r070
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,Z,80,surface_code_reinforcement_learning_Z_r080,10000,-0.019200,0.002938,0.005070,1.725685,-0.024700,-0.013600,-0.028700,-0.009800,300,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/Z/r080
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,Z,90,surface_code_reinforcement_learning_Z_r090,10000,-0.023200,0.003125,0.005583,1.786334,-0.029000,-0.017100,-0.035000,-0.012100,300,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/Z/r090
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,Z,100,surface_code_reinforcement_learning_Z_r100,10000,-0.028400,0.003116,0.005566,1.786319,-0.034400,-0.022800,-0.040900,-0.017700,300,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/Z/r100
surface_code_traditional_calibration,surface_code_memory,traditional_calibration,X,10,surface_code_traditional_calibration_X_r010,10000,-0.005200,0.001140,0.002241,1.965376,-0.007600,-0.003000,-0.009900,-0.000900,300,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/X/r010
surface_code_traditional_calibration,surface_code_memory,traditional_calibration,X,20,surface_code_traditional_calibration_X_r020,10000,-0.008000,0.001770,0.003181,1.796905,-0.011400,-0.004500,-0.014200,-0.001200,300,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/X/r020
surface_code_traditional_calibration,surface_code_memory,traditional_calibration,X,30,surface_code_traditional_calibration_X_r030,10000,-0.016500,0.002114,0.003654,1.728665,-0.020200,-0.012400,-0.023800,-0.009100,300,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/X/r030
surface_code_traditional_calibration,surface_code_memory,traditional_calibration,X,40,surface_code_traditional_calibration_X_r040,10000,-0.020200,0.002447,0.004049,1.654748,-0.025200,-0.015700,-0.027600,-0.012100,300,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/X/r040
surface_code_traditional_calibration,surface_code_memory,traditional_calibration,X,50,surface_code_traditional_calibration_X_r050,10000,-0.021600,0.002686,0.004357,1.622357,-0.026300,-0.016000,-0.030000,-0.013100,300,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/X/r050
