experiment_name,code_family,control_mode,basis,cycle_dir,cycles,workload_id,baseline_decoder_pathway,intervened_decoder_pathway,num_pairs,valid_pairs,invalid_pairs,baseline_failure_count,intervened_failure_count,rescued_failure_count,induced_failure_count,unchanged_failure_count,unchanged_success_count,net_rescue_count,baseline_lfr,intervened_lfr,paired_delta_lfr,net_rescue_rate,rescue_rate_among_baseline_failures,induction_rate_among_baseline_successes,pairing_violation_rate,source_data_dir
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,r010,10,surface_code_reinforcement_learning_X_r010,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,243,215,74,46,169,9711,28,0.024300,0.021500,-0.002800,0.002800,0.304527,0.004715,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r010
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,r020,20,surface_code_reinforcement_learning_X_r020,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,492,407,163,78,329,9430,85,0.049200,0.040700,-0.008500,0.008500,0.331301,0.008204,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r020
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,r030,30,surface_code_reinforcement_learning_X_r030,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,676,580,221,125,455,9199,96,0.067600,0.058000,-0.009600,0.009600,0.326923,0.013406,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r030
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,r040,40,surface_code_reinforcement_learning_X_r040,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,874,710,330,166,544,8960,164,0.087400,0.071000,-0.016400,0.016400,0.377574,0.018190,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r040
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,r050,50,surface_code_reinforcement_learning_X_r050,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,1046,885,361,200,685,8754,161,0.104600,0.088500,-0.016100,0.016100,0.345124,0.022336,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r050
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,r060,60,surface_code_reinforcement_learning_X_r060,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,1270,1076,424,230,846,8500,194,0.127000,0.107600,-0.019400,0.019400,0.333858,0.026346,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r060
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,r070,70,surface_code_reinforcement_learning_X_r070,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,1421,1202,469,250,952,8329,219,0.142100,0.120200,-0.021900,0.021900,0.330049,0.029141,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r070
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,r080,80,surface_code_reinforcement_learning_X_r080,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,1621,1323,632,334,989,8045,298,0.162100,0.132300,-0.029800,0.029800,0.389883,0.039862,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r080
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,r090,90,surface_code_reinforcement_learning_X_r090,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,1784,1458,656,330,1128,7886,326,0.178400,0.145800,-0.032600,0.032600,0.367713,0.040166,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r090
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,r100,100,surface_code_reinforcement_learning_X_r100,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,1919,1606,687,374,1232,7707,313,0.191900,0.160600,-0.031300,0.031300,0.357999,0.046281,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r100
