run_id,workload_id,stress_level,experiment_name,basis,cycles,cycle_dir,source_data_dir,decoder_pathway,repeat_id,batch_id,batch_size,first_shot_id,last_shot_id,mean_detector_event_count,max_detector_event_count,decode_wall_time_ns,decode_wall_time_us,per_shot_decode_time_us,throughput_shots_per_second
p8_decoder_runtime_replay,surface_code_traditional_calibration_Z_r010,measured_decoder_replay,surface_code_traditional_calibration,Z,10,r010,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r010,correlated_matching_decoder_with_si1000_prior,0,0,128,0,127,15.148438,35,605894,605.894000,4.733547,211258.074845
p8_decoder_runtime_replay,surface_code_traditional_calibration_Z_r010,measured_decoder_replay,surface_code_traditional_calibration,Z,10,r010,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r010,correlated_matching_decoder_with_si1000_prior,0,1,128,128,255,16.179688,36,719168,719.168000,5.618500,177983.447539
p8_decoder_runtime_replay,surface_code_traditional_calibration_Z_r010,measured_decoder_replay,surface_code_traditional_calibration,Z,10,r010,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r010,correlated_matching_decoder_with_si1000_prior,0,2,128,256,383,15.125000,30,591984,591.984000,4.624875,216222.060056
p8_decoder_runtime_replay,surface_code_traditional_calibration_Z_r010,measured_decoder_replay,surface_code_traditional_calibration,Z,10,r010,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r010,correlated_matching_decoder_with_si1000_prior,0,3,128,384,511,14.390625,32,552653,552.653000,4.317602,231610.069972
p8_decoder_runtime_replay,surface_code_traditional_calibration_Z_r010,measured_decoder_replay,surface_code_traditional_calibration,Z,10,r010,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r010,correlated_matching_decoder_with_si1000_prior,0,4,128,512,639,15.093750,30,625785,625.785000,4.888945,204543.093874
p8_decoder_runtime_replay,surface_code_traditional_calibration_Z_r010,measured_decoder_replay,surface_code_traditional_calibration,Z,10,r010,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r010,correlated_matching_decoder_with_si1000_prior,0,5,128,640,767,14.476562,28,615874,615.874000,4.811516,207834.719439
p8_decoder_runtime_replay,surface_code_traditional_calibration_Z_r010,measured_decoder_replay,surface_code_traditional_calibration,Z,10,r010,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r010,correlated_matching_decoder_with_si1000_prior,0,6,128,768,895,15.460938,44,590424,590.424000,4.612687,216793.355284
p8_decoder_runtime_replay,surface_code_traditional_calibration_Z_r010,measured_decoder_replay,surface_code_traditional_calibration,Z,10,r010,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r010,correlated_matching_decoder_with_si1000_prior,0,7,128,896,1023,14.515625,33,551903,551.903000,4.311742,231924.812875
p8_decoder_runtime_replay,surface_code_traditional_calibration_Z_r010,measured_decoder_replay,surface_code_traditional_calibration,Z,10,r010,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r010,correlated_matching_decoder_with_si1000_prior,0,8,128,1024,1151,14.601562,31,570664,570.664000,4.458312,224300.113552
p8_decoder_runtime_replay,surface_code_traditional_calibration_Z_r010,measured_decoder_replay,surface_code_traditional_calibration,Z,10,r010,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r010,correlated_matching_decoder_with_si1000_prior,0,9,128,1152,1279,16.304688,32,647395,647.395000,5.057773,197715.459650
p8_decoder_runtime_replay,surface_code_traditional_calibration_Z_r010,measured_decoder_replay,surface_code_traditional_calibration,Z,10,r010,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r010,correlated_matching_decoder_with_si1000_prior,0,10,128,1280,1407,15.062500,29,508812,508.812000,3.975094,251566.393874
p8_decoder_runtime_replay,surface_code_traditional_calibration_Z_r010,measured_decoder_replay,surface_code_traditional_calibration,Z,10,r010,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r010,correlated_matching_decoder_with_si1000_prior,0,11,128,1408,1535,14.976562,29,504702,504.702000,3.942984,253615.004498
