epoch,train_loss_total,train_loss_rho,train_loss_spectral,train_loss_energy,train_loss_leakage,train_loss_selection_entropy,train_loss_selection_coverage,val_loss_total,val_loss_rho,val_loss_spectral,val_loss_energy,val_loss_leakage,val_loss_selection_entropy,val_loss_selection_coverage,val_density_rel_l2,val_lowfreq_spectral_rel_l2,val_lowpass_energy_rel_l2,val_commutator_leakage,val_leakage_error_correlation,val_latent_step_norm,val_selection_entropy,val_selection_coverage_deficit,val_runtime_seconds,val_parameter_count
0,0.33371089634142426,1.0638573848765238e-07,4.446422155380883e-07,0.6072283826376262,0.47806960030605916,1.9421047787917287,1.2116457914051257,0.29335343837738037,7.381436084585857e-08,3.099496481695496e-07,0.49643054604530334,0.37229330837726593,1.7596274018287659,1.2413454055786133,0.24113679826259615,0.2307964839041233,0.6976266503334045,0.37229330837726593,0.8655171303693803,0.003824195358902216,1.7596274018287659,1.2413454055786133,0.005177493032533675,404897
1,0.27290702807275874,1.0600388347220839e-07,4.433735362478106e-07,0.3371654639118596,0.47477675739087555,1.8063442142386186,1.1672804732071727,0.2442161962389946,7.360101506037608e-08,3.091902058827145e-07,0.2831530272960663,0.36880482733249664,1.6356623768806458,1.1982917785644531,0.24079447686672212,0.2305138386785984,0.5112754702568054,0.36880482733249664,0.8594312822357939,0.004797623958438635,1.6356623768806458,1.1982917785644531,0.006972959963604808,404897
2,0.2266943572383178,1.0565078262540115e-07,4.422083658315195e-07,0.17004414922312686,0.46854879354175766,1.5783956678290116,1.0768686156523855,0.20077543705701828,7.339923868698861e-08,3.0845492204889524e-07,0.13296398892998695,0.3608641177415848,1.4403541088104248,1.0954634845256805,0.2404807783663273,0.23024533241987227,0.3366178572177887,0.3608641177415848,0.8501217946172293,0.007016119780018926,1.4403541088104248,1.0954634845256805,0.008384179032873362,404897
3,0.18557677457207128,1.0529981228489162e-07,4.41026613591595e-07,0.09430575174720664,0.4533670419140866,1.257701930246855,0.8627817630767822,0.15781249850988388,7.321231443313536e-08,3.07758583062423e-07,0.05639144033193588,0.34260084480047226,1.1261820793151855,0.8649276196956635,0.24019776955246924,0.22999425157904624,0.21908961981534958,0.34260084480047226,0.8351222965940109,0.011079936753958464,1.1261820793151855,0.8649276196956635,0.007134880986995995,404897
4,0.14702185674717552,1.0496452137874114e-07,4.3987670114562973e-07,0.07154165855363796,0.4316809679332532,0.8531294465065002,0.5822707791077463,0.12132582068443298,7.30353217903712e-08,3.0711040466258055e-07,0.031014629639685154,0.32132771611213684,0.7569963335990906,0.6071288585662842,0.2399204634130001,0.22975442409515381,0.15880762785673141,0.32132771611213684,0.8279101266422316,0.015592030249536037,0.7569963335990906,0.6071288585662842,0.006819383997935802,404897
5,0.11545197940186451,1.0465769743237424e-07,4.388522675550408e-07,0.047171724470038166,0.4157787937867014,0.5221777699495617,0.36311440091384084,0.08495182916522026,7.285426129044481e-08,3.0646800297517984e-07,0.022963577415794134,0.3068183436989784,0.4220436364412308,0.28533852100372314,0.23962848260998726,0.22951586470007895,0.1327236071228981,0.3068183436989784,0.8380533317916696,0.019282936118543148,0.4220436364412308,0.28533852100372314,0.005586732004303485,404897
6,0.08741187951282452,1.0436403909496125e-07,4.3786321600093385e-07,0.028219279882154967,0.40823896307694285,0.2764238401463157,0.13651240499396072,0.06200091168284416,7.26752062973901e-08,3.0582879873009006e-07,0.018316306173801422,0.30018480122089386,0.2104676365852356,0.07623130083084106,0.239340790361166,0.22927894219756126,0.11951517313718796,0.30018480122089386,0.845292331803926,0.02257543709129095,0.2104676365852356,0.07623130083084106,0.008711458009202033,404897
7,0.07442816444917728,1.0406012108139868e-07,4.3681445492295194e-07,0.015822288420933642,0.40588999421972977,0.15620724817639903,0.039960503578186035,0.05321851558983326,7.252248757083635e-08,3.052401638115043e-07,0.0071722413413226604,0.2979966104030609,0.12053648382425308,0.02117067575454712,0.23910205364227294,0.22905709967017174,0.06390932388603687,0.2979966104030609,0.8474096453401292,0.026886519975960255,0.12053648382425308,0.02117067575454712,0.006088461959734559,404897
8,0.0697756248869394,1.0379244317816397e-07,4.358575804836188e-07,0.008940580129427346,0.40495320448749944,0.10605302217759584,0.013420186544719496,0.05093493219465017,7.237105315027748e-08,3.046783092486294e-07,0.004837734624743462,0.2972005680203438,0.08274300023913383,0.009502619504928589,0.23885680213570593,0.22884406968951226,0.054045552387833595,0.2972005680203438,0.8464149960205111,0.029366114176809788,0.08274300023913383,0.009502619504928589,0.005961426999419928,404897
9,0.06785037270502041,1.0352318020367373e-07,4.3490671200025216e-07,0.005606813968992547,0.4030049458930367,0.08359402692631672,0.007200266185559724,0.04981476720422506,7.222038433951639e-08,3.041167744299855e-07,0.003795102355070412,0.29631344974040985,0.05756689794361591,0.006175369024276733,0.23861386552453043,0.22863508984446526,0.050657058134675026,0.29631344974040985,0.8432626550099499,0.030840519815683365,0.05756689794361591,0.006175369024276733,0.012753929011523724,404897
10,0.06649491230123922,1.032757583779561e-07,4.3401683725326283e-07,0.0040533018886650864,0.40018992988686813,0.061344961586751436,0.005333047164113898,0.04901480674743652,7.206656249536536e-08,3.035337030610208e-07,0.0028812848031520844,0.2949896305799484,0.04202394559979439,0.004993826150894165,0.23836779296398164,0.22841991335153577,0.045884743332862854,0.2949896305799484,0.8412351749998799,0.03165284264832735,0.04202394559979439,0.004993826150894165,0.0106016009231098,404897
11,0.06571230664849281,1.0302457890307587e-07,4.3310164773844774e-07,0.00319190964249796,0.3984180155553316,0.049161332806474285,0.0042936990135594415,0.04842387419193983,7.191310302800957e-08,3.0297008635216116e-07,0.0022794234100729227,0.2933463230729103,0.03565106354653835,0.0039916932582855225,0.23811679556965826,0.2282101333141327,0.041566288098692894,0.2933463230729103,0.839413054203671,0.03155631758272648,0.03565106354653835,0.0039916932582855225,0.006740462966263294,404897
