epoch,train_loss_total,train_loss_rho,train_loss_spectral,train_loss_energy,train_loss_leakage,train_loss_residual,train_loss_selection_entropy,train_loss_selection_coverage,val_loss_total,val_loss_rho,val_loss_spectral,val_loss_energy,val_loss_leakage,val_loss_residual,val_loss_selection_entropy,val_loss_selection_coverage,val_density_rel_l2,val_lowfreq_spectral_rel_l2,val_lowpass_energy_rel_l2,val_commutator_leakage,val_leakage_error_correlation,val_latent_step_norm,val_selection_entropy,val_selection_coverage_deficit,val_residual_lowfreq_norm,val_runtime_seconds,val_parameter_count
0,0.00032437762849057386,1.807757060209712e-06,0.0003886656968940147,0.0001550142714174734,0.5435554259701779,0.0003886603333644177,0.0,0.0,0.00010944618043140508,1.6037920431699604e-06,0.00013193194899940863,1.954124127223622e-05,0.40094058215618134,0.00013197631778893992,0.0,0.0,1.2537494063377381,5.343684482574464,0.004229086800478399,0.40094058215618134,-0.8524175505769515,nan,nan,nan,0.00013197631778893992,2.0945276049897075,706531
1,5.783992080403933e-05,1.3205270043296256e-06,6.927111424279007e-05,8.20674915159639e-06,0.5435554353814376,6.921639166983751e-05,0.0,0.0,1.7625137388677103e-05,7.933722940833832e-07,2.04776943064644e-05,4.901314753169572e-06,0.40094058215618134,2.0454283003346063e-05,0.0,0.0,0.8768133342266082,2.062537598609924,0.0015912160743027925,0.40094058215618134,0.0845555112562108,nan,nan,nan,2.0454283003346063e-05,0.010552524006925523,706531
2,1.509854566967605e-05,7.1187013729382e-07,1.7450709779759083e-05,5.0416664347913434e-06,0.5435554377342525,1.7402395602211502e-05,0.0,0.0,8.470653256154037e-06,5.551381434543146e-07,9.486117505730363e-06,4.645899139177345e-06,0.40094058215618134,9.432613296667114e-06,0.0,0.0,0.7309198260307312,1.395451772212982,0.00199973676353693,0.40094058215618134,-0.023604465473048064,nan,nan,nan,9.432613296667114e-06,0.007775815960485488,706531
3,7.3549209494223376e-06,5.198838087045786e-07,8.238558525351292e-06,3.249858614732435e-06,0.5435554353814376,8.16973414131146e-06,0.0,0.0,4.527727242020774e-06,3.68222600855006e-07,5.037196388002485e-06,1.5954764762682316e-06,0.40094058215618134,4.997370297132875e-06,0.0,0.0,0.5905953943729401,1.0005198240280153,0.0010241916170343757,0.40094058215618134,-0.059345759970105105,nan,nan,nan,4.997370297132875e-06,0.01757472800090909,706531
4,3.957698170683886e-06,3.263501229723356e-07,4.350678361668925e-06,2.1554794425595137e-06,0.5435554447926974,4.30313440646339e-06,0.0,0.0,2.658089272244979e-06,2.1639843339471554e-07,2.7082309088655165e-06,4.966873802914051e-06,0.40094058215618134,2.6762280072034628e-06,0.0,0.0,0.4365062952041626,0.7050845682621002,0.0021330261370167136,0.40094058215618134,-0.03786802115910165,nan,nan,nan,2.6762280072034628e-06,0.006891652999911457,706531
5,2.5823384787240923e-06,2.3788329808906526e-07,2.7058556138638923e-06,3.0659317225830533e-06,0.5435554259701779,2.647404495579203e-06,0.0,0.0,1.9160343072144315e-06,1.94625037863716e-07,2.084464938434394e-06,6.66820056949291e-07,0.40094058215618134,2.04962833549871e-06,0.0,0.0,0.41555483639240265,0.6245915412902832,0.0006659998907707632,0.40094058215618134,-0.052428428275606176,nan,nan,nan,2.04962833549871e-06,0.01138172100763768,706531
6,1.93015576219056e-06,1.9830685005217674e-07,2.063699783225035e-06,1.2166814766906578e-06,0.5435554244016346,2.0054963825762237e-06,0.0,0.0,1.337207578444577e-06,1.3185089642320236e-07,1.44419325920353e-06,7.177899021826306e-07,0.40094058215618134,1.4112660835507995e-06,0.0,0.0,0.3346114754676819,0.5098392575979234,0.0007130778103601187,0.40094058215618134,-0.046352751355408006,nan,nan,nan,1.4112660835507995e-06,0.011121705058030784,706531
7,1.39901712109828e-06,1.4375637578579794e-07,1.517814388606846e-06,5.280317727857963e-07,0.5435554228330913,1.4607602422170442e-06,0.0,0.0,9.89602483514318e-07,1.0428702346132468e-07,1.0670860319805797e-06,4.268952267239001e-07,0.40094058215618134,1.0301871640194804e-06,0.0,0.0,0.285187728703022,0.4198528677225113,0.0005619206640403718,0.40094058215618134,-0.016953425774825615,nan,nan,nan,1.0301871640194804e-06,0.015551502001471817,706531
8,1.1173422380077107e-06,1.263255448317355e-07,1.1980449459626566e-06,4.2330905695340145e-07,0.5435554196960047,1.1415259893367061e-06,0.0,0.0,8.618052618203365e-07,9.818838009323372e-08,9.228565147623158e-07,3.290727050853093e-07,0.40094058215618134,8.878079142959905e-07,0.0,0.0,0.2822130590677261,0.3973127186298371,0.00048126690671779215,0.40094058215618134,-0.07114215907813248,nan,nan,nan,8.878079142959905e-07,0.025302500056568533,706531
9,9.72332351897134e-07,1.0735315850309378e-07,1.035125619278245e-06,5.41545629953601e-07,0.5435554306758078,9.801382367712857e-07,0.0,0.0,6.853767899883678e-07,7.683651759293753e-08,7.295397352891086e-07,3.596301993979978e-07,0.40094058215618134,6.926995013145643e-07,0.0,0.0,0.25043970346450806,0.35809082090854644,0.0005064111755928025,0.40094058215618134,-0.02196062413912453,nan,nan,nan,6.926995013145643e-07,0.007381586008705199,706531
