epoch,train_loss_total,train_loss_rho,train_loss_spectral,train_loss_energy,train_loss_leakage,train_loss_residual,train_loss_selection_entropy,train_loss_selection_coverage,val_loss_total,val_loss_rho,val_loss_spectral,val_loss_energy,val_loss_leakage,val_loss_residual,val_loss_selection_entropy,val_loss_selection_coverage,val_density_rel_l2,val_lowfreq_spectral_rel_l2,val_lowpass_energy_rel_l2,val_commutator_leakage,val_leakage_error_correlation,val_latent_step_norm,val_selection_entropy,val_selection_coverage_deficit,val_residual_lowfreq_norm,val_runtime_seconds,val_parameter_count
0,2.783712853209564e-08,1.5362008460628155e-08,6.209930572104464e-08,1.1480133923070848e-05,0.5493819337142142,1.1051725265936714e-09,0.0,0.0,2.070548088539681e-08,1.1435539848392295e-08,4.5985230734402194e-08,1.1690654446283588e-05,0.41605496406555176,1.4578894202976755e-09,0.0,0.0,0.09768752604722977,0.09211469739675522,0.0033921743743121624,0.41605496406555176,0.38927859082833316,nan,nan,nan,1.4578894202976755e-09,3.5164174149977043,706531
1,2.7322025904876873e-08,1.504473392649767e-08,6.071751120597774e-08,1.1480134210279702e-05,0.5493819415569305,2.6757915298696544e-09,0.0,0.0,2.043032854004423e-08,1.128127657956668e-08,4.5284365590703146e-08,1.1690654446283588e-05,0.41605496406555176,1.843582342342387e-09,0.0,0.0,0.09729614108800888,0.09170440807938576,0.0033921743743121624,0.41605496406555176,0.3685956351961625,nan,nan,nan,1.843582342342387e-09,0.008094073971733451,706531
2,2.7182215215535316e-08,1.5005380002869036e-08,6.049722295050455e-08,1.148013440175227e-05,0.5493819321456709,1.5478140348360182e-09,0.0,0.0,2.0207793660631523e-08,1.1196083615772068e-08,4.489502991589234e-08,1.1690654446283588e-05,0.41605496406555176,6.540642749630621e-10,0.0,0.0,0.09614444896578789,0.09046941325068474,0.0033921743743121624,0.41605496406555176,0.3677976414520628,nan,nan,nan,6.540642749630621e-10,0.008127195993438363,706531
3,2.7558322407709344e-08,1.5226784137660998e-08,6.149317518347025e-08,1.1480134114543417e-05,0.5493819368513007,6.580572636512952e-10,0.0,0.0,2.0401276668025048e-08,1.1297890178951775e-08,4.536083775263933e-08,1.1690654446283588e-05,0.41605496406555176,6.243829064889184e-10,0.0,0.0,0.09655915684998036,0.09092370085418225,0.0033921743743121624,0.41605496406555176,0.36905073964642443,nan,nan,nan,6.243829064889184e-10,0.013557071972172707,706531
4,2.7498021824469203e-08,1.518094394052576e-08,6.131547536369908e-08,1.1480134210279702e-05,0.5493819337142142,1.0796372041990833e-09,0.0,0.0,2.0502394448840278e-08,1.1340744565657701e-08,4.556054999937942e-08,1.1690654446283588e-05,0.41605496406555176,9.90788784349661e-10,0.0,0.0,0.09690472185611726,0.09128362685441971,0.0033921743743121624,0.41605496406555176,0.3611473177112046,nan,nan,nan,9.90788784349661e-10,0.006610583979636431,706531
5,2.76141398402567e-08,1.5249561613472906e-08,6.160205519958445e-08,1.1480134018807133e-05,0.5493819243029544,8.83326645746769e-10,0.0,0.0,2.057000170196943e-08,1.1385617337822396e-08,4.574921508293528e-08,1.1690654446283588e-05,0.41605496406555176,6.90825785465421e-10,0.0,0.0,0.09694064408540726,0.09132023751735688,0.0033921743743121624,0.41605496406555176,0.37792362449407046,nan,nan,nan,6.90825785465421e-10,0.007439993962179869,706531
6,2.7649737189886094e-08,1.5260257946181355e-08,6.16487851645113e-08,1.148013440175227e-05,0.5493819243029544,1.1944395706427264e-09,0.0,0.0,2.0611250484137145e-08,1.1392660592690618e-08,4.579124457393391e-08,1.1690654446283588e-05,0.41605496406555176,1.2068016586042063e-09,0.0,0.0,0.09728212878108025,0.09168151430785657,0.0033921743743121624,0.41605496406555176,0.3517319998614323,nan,nan,nan,1.2068016586042063e-09,0.006005803996231407,706531
7,2.7715497452618365e-08,1.5295600715827923e-08,6.182703864666157e-08,1.1480134066675274e-05,0.5493819446940171,1.0897679250227181e-09,0.0,0.0,2.0527835875583378e-08,1.1361375173990496e-08,4.564847966292973e-08,1.1690654446283588e-05,0.41605496406555176,7.352960185169621e-10,0.0,0.0,0.09673414640128612,0.09109912440180779,0.0033921743743121624,0.41605496406555176,0.35538777976921554,nan,nan,nan,7.352960185169621e-10,0.006954783981200308,706531
8,2.780230184085715e-08,1.534817082783416e-08,6.205130594145502e-08,1.1480134210279702e-05,0.5493819493996469,8.774015110948447e-10,0.0,0.0,2.0655714472184172e-08,1.1427934820673613e-08,4.5945593996066236e-08,1.1690654446283588e-05,0.41605496406555176,7.732109952307553e-10,0.0,0.0,0.09715714529156685,0.0915495965629816,0.0033921743743121624,0.41605496406555176,0.3709054332579119,nan,nan,nan,7.732109952307553e-10,0.00564868503715843,706531
9,2.785699418507791e-08,1.5376668125922703e-08,6.218238574343846e-08,1.1480134210279702e-05,0.5493819368513007,8.769647522785967e-10,0.0,0.0,2.062465487284726e-08,1.1408011424407505e-08,4.585820789770878e-08,1.1690654446283588e-05,0.41605496406555176,9.000317435781113e-10,0.0,0.0,0.09712781310081482,0.09151089265942573,0.0033921743743121624,0.41605496406555176,0.36561891647113237,nan,nan,nan,9.000317435781113e-10,0.009143618051894009,706531
