sample_id,attempt_id,nx,N,K0,budget,pool_hops,pool_size,pool_text,components_json,components_label,eval_seeds,eval_times,oracle_reference_text,oracle_objective,oracle_err_rho_vs_full,oracle_leakage,coupling_reference_text,coupling_objective,low_energy_reference_text,low_energy_objective
0,0,4,16,4.0,4,2,8,"0,2,16,48,62,208,210,240","[{""alpha"":0.46110353641254487,""qx"":0,""qy"":1},{""alpha"":0.6902612640985422,""qx"":2,""qy"":-3},{""alpha"":0.787167898374247,""qx"":0,""qy"":-3},{""alpha"":0.48480297478062395,""qx"":2,""qy"":-3}]","V=0.46cos(0,1)+0.69cos(2,-3)+0.79cos(0,-3)+0.48cos(2,-3)","0,1","0.3,0.6","0,2,48,210",0.20130102781248513,0.09398008090660769,1.0732094690587743,"0,48,62,210",0.2048508492365098,"0,2,16,240",0.22042084818857566
1,1,4,16,4.0,4,2,8,"0,2,14,18,34,63,209,238","[{""alpha"":0.8213362882572106,""qx"":-2,""qy"":0},{""alpha"":0.3209477174747341,""qx"":-2,""qy"":-1},{""alpha"":0.4562646662603125,""qx"":1,""qy"":-3},{""alpha"":0.4192064839543376,""qx"":2,""qy"":2}]","V=0.82cos(-2,0)+0.32cos(-2,-1)+0.46cos(1,-3)+0.42cos(2,2)","0,1","0.3,0.6","0,2,14,63",0.16395854673589946,0.08607087504709085,0.7788767168880861,"0,2,14,63",0.16395854673589946,"0,2,14,18",0.1647979473380784
2,2,4,16,4.0,4,2,8,"0,1,15,29,31,51,241,243","[{""alpha"":0.46519590480217565,""qx"":3,""qy"":3},{""alpha"":0.7119665333804944,""qx"":-3,""qy"":1},{""alpha"":0.8905239327876209,""qx"":-1,""qy"":0},{""alpha"":0.8876560387961616,""qx"":1,""qy"":-1}]","V=0.47cos(3,3)+0.71cos(-3,1)+0.89cos(-1,0)+0.89cos(1,-1)","0,1","0.3,0.6","0,1,15,31",0.2268001543070013,0.11659935355647394,1.1020080075052734,"0,1,15,31",0.2268001543070013,"0,1,15,31",0.2268001543070013
3,3,4,16,4.0,4,2,8,"0,1,2,3,13,15,45,227","[{""alpha"":0.5603094551937684,""qx"":1,""qy"":0},{""alpha"":0.7126728131266714,""qx"":-3,""qy"":2},{""alpha"":0.6047270175435505,""qx"":-3,""qy"":2},{""alpha"":0.8511170013379497,""qx"":3,""qy"":0}]","V=0.56cos(1,0)+0.71cos(-3,2)+0.6cos(-3,2)+0.85cos(3,0)","0,1","0.3,0.6","0,3,45,227",0.21530771531034373,0.09123061375100835,1.2407710155933538,"0,3,45,227",0.21530771531034373,"0,1,2,15",0.22745352975660257
4,4,4,16,4.0,4,2,8,"0,3,13,17,50,62,210,255","[{""alpha"":0.37908503415576594,""qx"":-2,""qy"":-3},{""alpha"":0.7845802539975284,""qx"":3,""qy"":0},{""alpha"":0.8911118212617102,""qx"":1,""qy"":1},{""alpha"":0.705410451157937,""qx"":-2,""qy"":3}]","V=0.38cos(-2,-3)+0.78cos(3,0)+0.89cos(1,1)+0.71cos(-2,3)","0,1","0.3,0.6","0,3,17,255",0.20820759846131023,0.10049035675795219,1.0771724170335804,"0,3,17,255",0.20820759846131023,"0,3,17,255",0.20820759846131023
5,5,4,16,4.0,4,2,8,"0,1,2,15,31,51,221,241","[{""alpha"":0.7920559687637078,""qx"":1,""qy"":-1},{""alpha"":0.36607344447769136,""qx"":-2,""qy"":0},{""alpha"":0.5524225570151782,""qx"":3,""qy"":3},{""alpha"":0.4437200240992793,""qx"":1,""qy"":0}]","V=0.79cos(1,-1)+0.37cos(-2,0)+0.55cos(3,3)+0.44cos(1,0)","0,1","0.3,0.6","0,31,51,241",0.19606272322329907,0.11583572351546387,0.8022699970783519,"0,31,51,241",0.19606272322329907,"0,1,15,31",0.1991561579727828
6,6,4,16,4.0,4,2,8,"0,3,13,16,29,32,224,240","[{""alpha"":0.8896121830172591,""qx"":3,""qy"":0},{""alpha"":0.6311212710214099,""qx"":-3,""qy"":1},{""alpha"":0.6492578586952081,""qx"":0,""qy"":-2},{""alpha"":0.6742433954905019,""qx"":0,""qy"":-1}]","V=0.89cos(3,0)+0.63cos(-3,1)+0.65cos(0,-2)+0.67cos(0,-1)","0,1","0.3,0.6","0,13,16,29",0.1826439811602587,0.07922442529662044,1.0341955586363827,"0,3,13,16",0.18535575776015545,"0,16,32,240",0.18669501236925493
7,7,4,16,4.0,4,2,8,"0,1,29,30,48,208,242,243","[{""alpha"":0.6576043161610009,""qx"":2,""qy"":-1},{""alpha"":0.7637384020720236,""qx"":3,""qy"":-1},{""alpha"":0.7649400514536832,""qx"":2,""qy"":-1},{""alpha"":0.7097365110304856,""qx"":0,""qy"":3}]","V=0.66cos(2,-1)+0.76cos(3,-1)+0.76cos(2,-1)+0.71cos(0,3)","0,1","0.3,0.6","0,1,30,243",0.22164551744887034,0.09829013948024164,1.233553779686287,"0,29,30,242",0.2245663039265957,"0,1,30,242",0.2245663039265957
8,8,4,16,4.0,4,2,8,"0,16,19,33,63,209,240,253","[{""alpha"":0.3540310592555499,""qx"":0,""qy"":1},{""alpha"":0.6847636532765488,""qx"":-1,""qy"":3},{""alpha"":0.6165460396334783,""qx"":-3,""qy"":-1},{""alpha"":0.35206049173351395,""qx"":-1,""qy"":-2}]","V=0.35cos(0,1)+0.68cos(-1,3)+0.62cos(-3,-1)+0.35cos(-1,-2)","0,1","0.3,0.6","0,19,63,209",0.16578488377154066,0.08615970460784401,0.7962517916369664,"0,19,63,209",0.16578488377154066,"0,16,33,240",0.17287363294760666
9,9,4,16,4.0,4,2,8,"0,17,29,50,51,221,243,255","[{""alpha"":0.6734602281011934,""qx"":-3,""qy"":-3},{""alpha"":0.7650570484014886,""qx"":-1,""qy"":-1},{""alpha"":0.6569463073791392,""qx"":-2,""qy"":-3},{""alpha"":0.8635620481892067,""qx"":3,""qy"":-1}]","V=0.67cos(-3,-3)+0.77cos(-1,-1)+0.66cos(-2,-3)+0.86cos(3,-1)","0,1","0.3,0.6","0,17,29,243",0.26393106247292775,0.1470207448764308,1.1691031759649695,"0,17,29,243",0.26393106247292775,"0,17,29,255",0.2647855794630709
