nx,N,K0,M_K,R_size,t,seed,alpha,J,V_label,R_hops,err_b_K_rel,err_rho_vs_full,err_E_LP,leakage_apriori,bound_apriori,err_Z_frob,err_rho_lp_vs_full,rt_build_H_s,rt_eig_s,rt_full_s,rt_galerkin_s,rt_total_s
4,16,1.0,5,3,0.1,0,0.1,1,"V=0.1cos(1,0)",1,0.0053483230223811545,0.4437356287178796,5.2817304724651524e-05,0.06831300510639733,0.006831300510639734,0.0008802502443193019,0.44379999415222476,0.0013964370009489357,0.2230591310071759,nan,nan,0.010777557996334508
4,16,1.0,5,3,0.2,0,0.1,1,"V=0.1cos(1,0)",1,0.010682427045463497,0.4560553741756783,0.0002106224957657518,0.06831300510639733,0.013662601021279468,0.0017621989397509864,0.45629387917587555,0.0013964370009489357,0.2230591310071759,nan,nan,0.006630955991568044
4,16,1.0,5,3,0.3,0,0.1,1,"V=0.1cos(1,0)",1,0.015988326191929015,0.46208513387369776,0.00047148956497927334,0.06831300510639733,0.020493901531919198,0.002647414942414836,0.4625813916973319,0.0013964370009489357,0.2230591310071759,nan,nan,0.0015926540072541684
4,16,1.0,5,3,0.4,0,0.1,1,"V=0.1cos(1,0)",1,0.021252493206693597,0.4516923035710059,0.0008322548856244253,0.06831300510639733,0.027325202042558935,0.003537216077913573,0.45253519686421845,0.0013964370009489357,0.2230591310071759,nan,nan,0.008650997013319284
4,16,1.0,5,3,0.5,0,0.1,1,"V=0.1cos(1,0)",1,0.026462069990255535,0.43802502217266376,0.0012885867038532704,0.06831300510639733,0.034156502553198666,0.00443256334732878,0.4392699524169714,0.0013964370009489357,0.2230591310071759,nan,nan,0.030615016003139317
4,16,1.0,5,3,0.6,0,0.1,1,"V=0.1cos(1,0)",1,0.03160505635215937,0.42681083878857257,0.001835081624556325,0.06831300510639733,0.040987803063838396,0.005333976995058111,0.42845562267736315,0.0013964370009489357,0.2230591310071759,nan,nan,0.00532570100040175
4,16,1.0,5,3,0.7,0,0.1,1,"V=0.1cos(1,0)",1,0.036670471068600954,0.4125756218213031,0.0024653860951938606,0.06831300510639733,0.047819103574478126,0.006241478942872852,0.4146047952971324,0.0013964370009489357,0.2230591310071759,nan,nan,0.010811786982230842
4,16,1.0,5,3,0.8,0,0.1,1,"V=0.1cos(1,0)",1,0.04164848054072537,0.39098257997801655,0.00317233918746482,0.06831300510639733,0.05465040408511787,0.007154564120341199,0.3933876114723562,0.0013964370009489357,0.2230591310071759,nan,nan,0.0023527370067313313
4,16,1.0,5,3,0.9,0,0.1,1,"V=0.1cos(1,0)",1,0.04653049180329992,0.36654118831897164,0.003948131184340122,0.06831300510639733,0.0614817045957576,0.008072201184462075,0.3692573779284499,0.0013964370009489357,0.2230591310071759,nan,nan,0.0015948530053719878
4,16,1.0,5,3,1.0,0,0.1,1,"V=0.1cos(1,0)",1,0.05130920822957372,0.3478907893071614,0.004784471070864899,0.06831300510639733,0.06831300510639733,0.008992861191986681,0.35072821675051796,0.0013964370009489357,0.2230591310071759,nan,nan,0.0015812460042070597
4,16,2.0,13,3,0.1,0,0.1,1,"V=0.1cos(1,0)",1,0.00233822378658632,0.2057144028725,2.998946275033988e-05,0.05991446895152781,0.005991446895152782,0.00030642771099608954,0.20565797961795299,0.0013964370009489357,0.2230591310071759,nan,nan,0.012154868978541344
4,16,2.0,13,3,0.2,0,0.1,1,"V=0.1cos(1,0)",1,0.004668591120368544,0.23248672861502676,0.00011932599891060645,0.05991446895152781,0.011982893790305564,0.0006165725768450799,0.23227315939108234,0.0013964370009489357,0.2230591310071759,nan,nan,0.03533703298307955
